,,,,,,,,,,,,,,,,,,
Beach Monitoring and Public Notification Program,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Date,Beach ID,Beach Name,Latitude,Longitude,Sampling Route,Sampling Type,"Enterococcus
 (colonies/100 mL)","Temperature
(°C)",pH ,Observations,,,,,,,,
6-Apr-15,RW-24A,Balneario Sun Bay,18.0963030,-65.4654220,Vieques,Routine,<1,26.80,Data Not Reported,,,,,,,,,
6-Apr-15,RW-24B,Balneario Sun Bay,18.0967220,-65.4589440,Vieques,Routine,10,26.90,Data Not Reported,,,,,,,,,
7-Apr-15,RW-38,Muelle de Arecibo,18.4792583,-66.7004667,Route: 6: Arecibo – Vega Alta ,Routine,373,25.50,7.9,,,,,,,,,
7-Apr-15,RW-39,Mar Chiquita,18.4729167,-66.4856556,Route: 6: Arecibo – Vega Alta ,Routine,<1,28.50,8.11,,,,,,,,,
7-Apr-15,RW-23,Balneario de Puerto Nuevo,18.4913667,-66.3990444,Route: 6: Arecibo – Vega Alta ,Routine,<1,27.90,8.24,,,,,,,,,
7-Apr-15,RW-17,Balneario Cerro Gordo or Javier Calderón Nieves,18.4812500,-66.3406556,Route: 6: Arecibo – Vega Alta ,Routine,<1,27.80,8.15/8.15,,,,,,,,,
7-Apr-15,RW-18,Balneario Manuel “Nolo” Morales or Sardinera,18.4746944,-66.2808917,Route 1: Dorado - Loíza,Routine,<1,26.40,7.89,,,,,,,,,
7-Apr-15,RW-19,Balneario Punta Salinas,18.4716583,-66.1859944,Route 1: Dorado - Loíza,Routine,<1,26.80,8.02,,,,,,,,,
7-Apr-15,RW-20A,Balneario El Escambrón,18.4672361,-66.0899583,Route 1: Dorado - Loíza,Routine,231,27.40,8.11/8.11,,,,,,,,,
7-Apr-15,RW-25A,Playa Sixto Escobar,18.4667306,-66.0866667,Route 1: Dorado - Loíza,Routine,<1,27.10,8.11,,,,,,,,,
7-Apr-15,RW-26,Playita del Condado,18.4611306,-66.0824083,Route 1: Dorado - Loíza,Routine,10,28.00,8.17,,,,,,,,,
7-Apr-15,RW-27,Ocean Park,18.4530111,-66.0488806,Route 1: Dorado - Loíza,Routine,<1,27.70,8.15,,,,,,,,,
7-Apr-15,RW-28,Playa El Alambique,18.4440917,-66.0221500,Route 1: Dorado - Loíza,Routine,10,27.80,8.14,,,,,,,,,
7-Apr-15,RW-29,Vacía Talega,18.4478583,-65.9062306,Route 1: Dorado - Loíza,Routine,<1,27.60,8.19,,,,,,,,,
7-Apr-15,RW-21C,Balneario de Carolina,18.4459889,-66.0035722,Route 1: Dorado - Loíza,Routine,41,29.10,8.10/8.10,,,,,,,,,
7-Apr-15,RW-7,Balneario Punta Guilarte,17.9620417,-66.0400000,Route 2: Arroyo - Luquillo,Routine,<1,25.70,8.13/8.13,,,,,,,,,
7-Apr-15,RW-6,Balneario de Patillas,17.9739750,-65.9889806,Route 2: Arroyo - Luquillo,Routine,164,24.80,8.04,,,,,,,,,
7-Apr-15,RW-30,Playa Guayanés,18.0626944,-65.8191944,Route 2: Arroyo - Luquillo,Routine,10,25.70,8.03,,,,,,,,,
7-Apr-15,RW-4,Balneario Punta Santiago,18.1584139,-65.7551861,Route 2: Arroyo - Luquillo,Routine,<1,26.10,8.1,,,,,,,,,
7-Apr-15,RW-31,Tropical Beach,18.1869278,-65.7259667,Route 2: Arroyo - Luquillo,Routine,<1,25.10,8.12,,,,,,,,,
7-Apr-15,RW-2,Balneario Seven Seas,18.3692667,-65.6360722,Route 2: Arroyo - Luquillo,Routine,<1,26.30,8.20/8.18,,,,,,,,,
7-Apr-15,RW-32,Playa Azul,18.3818667,-65.7184583,Route 2: Arroyo - Luquillo,Routine,10,25.80,8.14,,,,,,,,,
7-Apr-15,RW-1A,Balneario La Monserrate,18.3855917,-65.7294722,Route 2: Arroyo - Luquillo,Routine,10,27.20,8.08,,,,,,,,,
6-Apr-15,RW-37,Villa Lamela,18.0645333,-67.1975278,Route 4: Cabo Rojo,Routine,<1,28.30,8.1,,,,,,,,,
6-Apr-15,RW-8,Playa Buyé ,18.0488722,-67.1986250,Route 4: Cabo Rojo,Routine,10,28.80,8.21,,,,,,,,,
6-Apr-15,RW-13,Balneario de Boquerón,18.0194417,-67.1722444,Route 4: Cabo Rojo,Routine,<1,28.00,8.17,,,,,,,,,
6-Apr-15,RW-14A,Playa Moja Casabe,17.9858100,-67.2145900,Route 4: Cabo Rojo,Routine,10,26.90,8.23,,,,,,,,,
6-Apr-15,RW-12B,Playa el Combate,17.9747944,-67.2129056,Route 4: Cabo Rojo,Routine,10,26.00,8.20/8.20,,,,,,,,,
6-Apr-15,RW-15,Balneario de Añasco or Balneario Tres Hermanos,18.2879972,-67.1939222,Route 5: Añasco - Aguadilla,Routine,20,27.50,8.07/8.07,,,,,,,,,
6-Apr-15,RW-5,Balneario de Rincón,18.3409250,-67.2560056,Route 5: Añasco - Aguadilla,Routine,<1,27.20,8.04,,,,,,,,,
6-Apr-15,RW-22,Pico de Piedra,18.3843639,-67.2129889,Route 5: Añasco - Aguadilla,Routine,201,26.60,8.07,,,,,,,,,
6-Apr-15,RW-16,Balneario Crash Boat,18.4576667,-67.1637778,Route 5: Añasco - Aguadilla,Routine,<1,26.30,8.08,,,,,,,,,
6-Apr-15,RW-33,Playita Rosada,17.9717167,-66.0315000,Route 3: Lajas - Salinas,Routine,171,26.20,8.05/8.05,,,,,,,,,
6-Apr-15,RW-10,Playa Santa,17.9377111,-66.9551972,Route 3: Lajas - Salinas,Routine,10,26.00,8.14,,,,,,,,,
6-Apr-15,RW-9,Caña Gorda,17.9525306,-66.8845611,Route 3: Lajas - Salinas,Routine,10,26.10,8.02,,,,,,,,,
6-Apr-15,RW-34,Playa del Hilton,17.9692833,-66.6027278,Route 3: Lajas - Salinas,Routine,<1,27.00,8.2,,,,,,,,,
6-Apr-15,RW-35,Playa Jauca,17.9598889,-66.3704167,Route 3: Lajas - Salinas,Routine,10,27.50,8.27,,,,,,,,,
6-Apr-15,RW-36,Balneario de Salinas,17.9775889,-66.3324972,Route 3: Lajas - Salinas,Routine,<1,27.70,8.2,,,,,,,,,
13-Apr-15,RW-33,Playita Rosada,17.9717167,-66.0315000,Route 3: Lajas - Salinas,Re-sampling,20,27.00,Bacteriological Re-sampling,,,,,,,,,
13-Apr-15,RW-6,Balneario de Patillas,17.9739750,-65.9889806,Route 2: Arroyo - Luquillo,Re-sampling,<1,29.00,Bacteriological Re-sampling,,,,,,,,,
13-Apr-15,RW-22,Pico de Piedra,18.3843639,-67.2129889,Route 5: Añasco - Aguadilla,Re-sampling,10,26.60,Bacteriological Re-sampling,,,,,,,,,
13-Apr-15,RW-38,Muelle de Arecibo,18.4792583,-66.7004667,Route: 6: Arecibo – Vega Alta ,Re-sampling,63,28.20,Bacteriological Re-sampling,,,,,,,,,
13-Apr-15,RW-20A,Balneario El Escambrón,18.4672361,-66.0899583,Route 1: Dorado - Loíza,Re-sampling,<1,25.40,Bacteriological Re-sampling,,,,,,,,,
13-Apr-15,RW-21C,Balneario de Carolina,18.4459889,-66.0035722,Route 1: Dorado - Loíza,Re-sampling,20,26.50,Bacteriological Re-sampling,,,,,,,,,
20-Apr-15,RW-33,Playita Rosada,17.9717167,-66.0315000,Route 3: Lajas - Salinas,Routine,144,27.10,7.84,,,,,,,,,
20-Apr-15,RW-10,Playa Santa,17.9377111,-66.9551972,Route 3: Lajas - Salinas,Routine,281,27.40,8.05,,,,,,,,,
20-Apr-15,RW-9,Caña Gorda,17.9525306,-66.8845611,Route 3: Lajas - Salinas,Routine,528,28.10,7.99,,,,,,,,,
20-Apr-15,RW-34,Playa del Hilton,17.9692833,-66.6027278,Route 3: Lajas - Salinas,Routine,10,28.50,8.08,,,,,,,,,
20-Apr-15,RW-35,Playa Jauca,17.9598889,-66.3704167,Route 3: Lajas - Salinas,Routine,20,29.70,8.12/8.14,,,,,,,,,
20-Apr-15,RW-36,Balneario de Salinas,17.9775889,-66.3324972,Route 3: Lajas - Salinas,Routine,<1,28.30,8.1,,,,,,,,,
20-Apr-15,RW-15,Balneario de Añasco or Balneario Tres Hermanos,18.2879972,-67.1939222,Route 5: Añasco - Aguadilla,Routine,31,27.40,8.76,,,,,,,,,
20-Apr-15,RW-5,Balneario de Rincón,18.3409250,-67.2560056,Route 5: Añasco - Aguadilla,Routine,265,27.20,8.32,,,,,,,,,
20-Apr-15,RW-22,Pico de Piedra,18.3843639,-67.2129889,Route 5: Añasco - Aguadilla,Routine,<1,27.70,8.36,,,,,,,,,
20-Apr-15,RW-16,Balneario Crash Boat,18.4576667,-67.1637778,Route 5: Añasco - Aguadilla,Routine,31,28.20,8.33/8.34,,,,,,,,,
20-Apr-15,RW-12B,Playa el Combate,17.9747944,-67.2129056,Route 4: Cabo Rojo,Routine,20,26.90,8.14,,,,,,,,,
20-Apr-15,RW-14A,Playa Moja Casabe,17.9858100,-67.2145900,Route 4: Cabo Rojo,Routine,285,27.00,8.15,,,,,,,,,
20-Apr-15,RW-13,Balneario de Boquerón,18.0194417,-67.1722444,Route 4: Cabo Rojo,Routine,<1,27.90,8.11,,,,,,,,,
20-Apr-15,RW-8,Playa Buyé ,18.0488722,-67.1986250,Route 4: Cabo Rojo,Routine,98,27.90,8.05,,,,,,,,,
20-Apr-15,RW-37,Villa Lamela,18.0645333,-67.1975278,Route 4: Cabo Rojo,Routine,697,27.90,8.09/8.09,,,,,,,,,
21-Apr-15,RW-38,Muelle de Arecibo,18.4792583,-66.7004667,Route: 6: Arecibo – Vega Alta ,Routine,63,26.20,8.01,,,,,,,,,
21-Apr-15,RW-39,Mar Chiquita,18.4729167,-66.4856556,Route: 6: Arecibo – Vega Alta ,Routine,<1,26.50,8.12,,,,,,,,,
21-Apr-15,RW-23,Balneario de Puerto Nuevo,18.4913667,-66.3990444,Route: 6: Arecibo – Vega Alta ,Routine,31,27.00,8.07,,,,,,,,,
21-Apr-15,RW-17,Balneario Cerro Gordo or Javier Calderón Nieves,18.4812500,-66.3406556,Route: 6: Arecibo – Vega Alta ,Routine,10,27.60,8.05/8.05,,,,,,,,,
21-Apr-15,RW-7,Balneario Punta Guilarte,17.9620417,-66.0400000,Route 2: Arroyo - Luquillo,Routine,31,27.30,8.47,,,,,,,,,
21-Apr-15,RW-6,Balneario de Patillas,17.9739750,-65.9889806,Route 2: Arroyo - Luquillo,Routine,30,27.20,8.29,,,,,,,,,
21-Apr-15,RW-30,Playa Guayanés,18.0626944,-65.8191944,Route 2: Arroyo - Luquillo,Routine,20,28.30,8.23,,,,,,,,,
21-Apr-15,RW-4,Balneario Punta Santiago,18.1584139,-65.7551861,Route 2: Arroyo - Luquillo,Routine,31,28.00,8.29,,,,,,,,,
21-Apr-15,RW-31,Tropical Beach,18.1869278,-65.7259667,Route 2: Arroyo - Luquillo,Routine,30,28.20,4.23/4.23,,,,,,,,,
21-Apr-15,RW-2,Balneario Seven Seas,18.3692667,-65.6360722,Route 2: Arroyo - Luquillo,Routine,10,28.30,8.27,,,,,,,,,
21-Apr-15,RW-32,Playa Azul,18.3818667,-65.7184583,Route 2: Arroyo - Luquillo,Routine,<1,28.60,8.22,,,,,,,,,
21-Apr-15,RW-1A,Balneario La Monserrate,18.3855917,-65.7294722,Route 2: Arroyo - Luquillo,Routine,<1,28.50,8.22,,,,,,,,,
21-Apr-15,RW-18,Balneario Manuel “Nolo” Morales or Sardinera,18.4746944,-66.2808917,Route 1: Dorado - Loíza,Routine,52,26.60,8.1,,,,,,,,,
21-Apr-15,RW-19,Balneario Punta Salinas,18.4716583,-66.1859944,Route 1: Dorado - Loíza,Routine,10,27.20,8.14,,,,,,,,,
21-Apr-15,RW-20A,Balneario El Escambrón,18.4672361,-66.0899583,Route 1: Dorado - Loíza,Routine,<1,27.70,8.19,,,,,,,,,
21-Apr-15,RW-25A,Playa Sixto Escobar,18.4667306,-66.0866667,Route 1: Dorado - Loíza,Routine,<1,27.30,8.2,,,,,,,,,
21-Apr-15,RW-26,Playita del Condado,18.4611306,-66.0824083,Route 1: Dorado - Loíza,Routine,10,27.80,8.23/8.22,,,,,,,,,
21-Apr-15,RW-27,Ocean Park,18.4530111,-66.0488806,Route 1: Dorado - Loíza,Routine,<1,27.30,8.21,,,,,,,,,
21-Apr-15,RW-28,Playa El Alambique,18.4440917,-66.0221500,Route 1: Dorado - Loíza,Routine,10,28.30,8.19,,,,,,,,,
21-Apr-15,RW-29,Vacía Talega,18.4478583,-65.9062306,Route 1: Dorado - Loíza,Routine,10,27.70,8.17,,,,,,,,,
21-Apr-15,RW-21C,Balneario de Carolina,18.4459889,-66.0035722,Route 1: Dorado - Loíza,Routine,10,28.10,8.18,,,,,,,,,
27-Apr-15,RW-5,Balneario de Rincón,18.3409250,-67.2560056,Route 5: Añasco - Aguadilla,Re-sampling,<1,28.00,Bacteriological Re-sampling,,,,,,,,,
27-Apr-15,RW-38,Muelle de Arecibo,18.4792583,-66.7004667,Route: 6: Arecibo – Vega Alta ,Re-sampling,<1,29.30,Bacteriological Re-sampling,,,,,,,,,
27-Apr-15,RW-18,Balneario Manuel “Nolo” Morales or Sardinera,18.4746944,-66.2808917,Route 1: Dorado - Loíza,Re-sampling,<1,29.00,Bacteriological Re-sampling,,,,,,,,,
27-Apr-15,RW-37,Villa Lamela,18.0645333,-67.1975278,Route 4: Cabo Rojo,Re-sampling,<1,29.80,Bacteriological Re-sampling,,,,,,,,,
27-Apr-15,RW-8,Playa Buyé ,18.0488722,-67.1986250,Route 4: Cabo Rojo,Re-sampling,<1,28.80,Bacteriological Re-sampling,,,,,,,,,
27-Apr-15,RW-14A,Playa Moja Casabe,17.9858100,-67.2145900,Route 4: Cabo Rojo,Re-sampling,97,30.50,Bacteriological Re-sampling,,,,,,,,,
27-Apr-15,RW-33,Playita Rosada,17.9717167,-66.0315000,Route 3: Lajas - Salinas,Re-sampling,52,28.80,Bacteriological Re-sampling,,,,,,,,,
27-Apr-15,RW-10,Playa Santa,17.9377111,-66.9551972,Route 3: Lajas - Salinas,Re-sampling,10,28.90,Bacteriological Re-sampling,,,,,,,,,
27-Apr-15,RW-9,Caña Gorda,17.9525306,-66.8845611,Route 3: Lajas - Salinas,Re-sampling,<1,28.90,Bacteriological Re-sampling,,,,,,,,,
4-May-15,RW-12B,Playa el Combate,17.9747944,-67.2129056,Route 4: Cabo Rojo,Routine,10,30.00,8.08,,,,,,,,,
4-May-15,RW-14A,Playa Moja Casabe,17.9858100,-67.2145900,Route 4: Cabo Rojo,Routine,10,29.30,8.05,,,,,,,,,
4-May-15,RW-13,Balneario de Boquerón,18.0194417,-67.1722444,Route 4: Cabo Rojo,Routine,<1,28.80,8.15,,,,,,,,,
4-May-15,RW-8,Playa Buyé ,18.0488722,-67.1986250,Route 4: Cabo Rojo,Routine,<1,28.90,8.09,,,,,,,,,
4-May-15,RW-37,Villa Lamela,18.0645333,-67.1975278,Route 4: Cabo Rojo,Routine,31,29.80,8.26/8.26,,,,,,,,,
4-May-15,RW-33,Playita Rosada,17.9717167,-66.0315000,Route 3: Lajas - Salinas,Routine,10,28.00,8.04,,,,,,,,,
4-May-15,RW-10,Playa Santa,17.9377111,-66.9551972,Route 3: Lajas - Salinas,Routine,355,28.50,8.1,,,,,,,,,
4-May-15,RW-9,Caña Gorda,17.9525306,-66.8845611,Route 3: Lajas - Salinas,Routine,10,28.50,8.14,,,,,,,,,
4-May-15,RW-34,Playa del Hilton,17.9692833,-66.6027278,Route 3: Lajas - Salinas,Routine,<1,28.50,8.23,,,,,,,,,
4-May-15,RW-35,Playa Jauca,17.9598889,-66.3704167,Route 3: Lajas - Salinas,Routine,<1,29.50,8.14/8.14,,,,,,,,,
4-May-15,RW-36,Balneario de Salinas,17.9775889,-66.3324972,Route 3: Lajas - Salinas,Routine,<1,28.90,8.26,,,,,,,,,
4-May-15,RW-15,Balneario de Añasco or Balneario Tres Hermanos,18.2879972,-67.1939222,Route 5: Añasco - Aguadilla,Routine,10,27.80,8.04,,,,,,,,,
4-May-15,RW-5,Balneario de Rincón,18.3409250,-67.2560056,Route 5: Añasco - Aguadilla,Routine,<1,28.70,8.07,,,,,,,,,
4-May-15,RW-22,Pico de Piedra,18.3843639,-67.2129889,Route 5: Añasco - Aguadilla,Routine,<1,28.80,8.13,,,,,,,,,
