,Country,Year,Breastfeed_rate
4,Argentina,2007-2011,28.0
9,Belize,2007-2011,27.0
12,Bolivia,2007-2011,40.0
15,Brazil,2007-2011,25.0
23,Colombia,2007-2011,33.0
26,Costa Rica,2007-2011,40.0
28,Cuba,2007-2011,17.0
32,Dominican Republic,2007-2011,12.0
35,Ecuador,2007-2011,23.0
37,El Salvador,2007-2011,54.0
44,Guatemala,2007-2011,46.0
46,Guyana,2007-2011,49.0
47,Haiti,2007-2011,35.0
48,Honduras,2007-2011,48.0
53,Jamaica,2007-2011,24.0
78,Nicaragua,2007-2011,43.0
83,Paraguay,2007-2011,14.0
84,Peru,2007-2011,55.0
101,Suriname,2007-2011,15.0
108,Trinidad and Tobago,2007-2011,22.0
116,United States of America,2011,16.3
117,Uruguay,2007-2011,27.0
