"Country or Area","Year(s)","Variant","Value"
"Afghanistan","2005-2010","Medium","76.725"
"Africa","2005-2010","Medium","68.137"
"Albania","2005-2010","Medium","16.756"
"Algeria","2005-2010","Medium","32.593"
"American Samoa","2005-2010","Medium",""
"Andorra","2005-2010","Medium",""
"Angola","2005-2010","Medium","83.783"
"Anguilla","2005-2010","Medium",""
"Antigua and Barbuda","2005-2010","Medium","10.014"
"Argentina","2005-2010","Medium","14.606"
"Armenia","2005-2010","Medium","21.004"
"Aruba","2005-2010","Medium","16.194"
"Asia","2005-2010","Medium","37.166"
"Australia","2005-2010","Medium","4.408"
"Australia/New Zealand","2005-2010","Medium","4.506"
"Austria","2005-2010","Medium","3.762"
"Azerbaijan","2005-2010","Medium","40.726"
"Bahamas","2005-2010","Medium","10.040"
"Bahrain","2005-2010","Medium","7.960"
"Bangladesh","2005-2010","Medium","43.300"
"Barbados","2005-2010","Medium","11.018"
"Belarus","2005-2010","Medium","6.269"
"Belgium","2005-2010","Medium","3.826"
"Belize","2005-2010","Medium","16.984"
"Benin","2005-2010","Medium","74.530"
"Bermuda","2005-2010","Medium",""
"Bhutan","2005-2010","Medium","39.509"
"Bolivia","2005-2010","Medium","51.005"
"Bosnia and Herzegovina","2005-2010","Medium","9.027"
"Botswana","2005-2010","Medium","46.456"
"Brazil","2005-2010","Medium","20.357"
"British Virgin Islands","2005-2010","Medium",""
"Brunei Darussalam","2005-2010","Medium","6.492"
"Bulgaria","2005-2010","Medium","9.527"
"Burkina Faso","2005-2010","Medium","77.555"
"Burundi","2005-2010","Medium","86.242"
"Cabo Verde","2005-2010","Medium","23.493"
"Cambodia","2005-2010","Medium","44.953"
"Cameroon","2005-2010","Medium","77.181"
"Canada","2005-2010","Medium","5.099"
"Caribbean","2005-2010","Medium","30.408"
"Caribbean Netherlands","2005-2010","Medium",""
"Cayman Islands","2005-2010","Medium",""
"Central African Republic","2005-2010","Medium","105.926"
"Central America","2005-2010","Medium","21.774"
"Central Asia","2005-2010","Medium","38.044"
"Chad","2005-2010","Medium","105.157"
"Channel Islands","2005-2010","Medium","8.687"
"Chile","2005-2010","Medium","7.825"
"China","2005-2010","Medium","16.735"
"China Hong Kong SAR","2005-2010","Medium","1.859"
"China Macao SAR","2005-2010","Medium","3.805"
"Other non-specified areas","2005-2010","Medium","5.163"
"Cô´te d'Ivoire","2005-2010","Medium","84.582"
"Colombia","2005-2010","Medium","19.043"
