"Country or Area","Year(s)","Variant","Value"
"Afghanistan","2010-2015","Medium","68.558"
"Africa","2010-2015","Medium","57.189"
"Albania","2010-2015","Medium","14.593"
"Algeria","2010-2015","Medium","27.660"
"American Samoa","2010-2015","Medium",""
"Andorra","2010-2015","Medium",""
"Angola","2010-2015","Medium","65.446"
"Anguilla","2010-2015","Medium",""
"Antigua and Barbuda","2010-2015","Medium","9.106"
"Argentina","2010-2015","Medium","13.689"
"Armenia","2010-2015","Medium","13.219"
"Aruba","2010-2015","Medium","14.809"
"Asia","2010-2015","Medium","30.529"
"Australia","2010-2015","Medium","3.873"
"Australia/New Zealand","2010-2015","Medium","3.955"
"Austria","2010-2015","Medium","3.328"
"Azerbaijan","2010-2015","Medium","31.395"
"Bahamas","2010-2015","Medium","9.061"
"Bahrain","2010-2015","Medium","6.907"
"Bangladesh","2010-2015","Medium","33.276"
"Barbados","2010-2015","Medium","9.563"
"Belarus","2010-2015","Medium","3.564"
"Belgium","2010-2015","Medium","3.460"
"Belize","2010-2015","Medium","14.324"
"Benin","2010-2015","Medium","67.681"
"Bermuda","2010-2015","Medium",""
"Bhutan","2010-2015","Medium","30.462"
"Bolivia","2010-2015","Medium","42.938"
"Bosnia and Herzegovina","2010-2015","Medium","7.608"
"Botswana","2010-2015","Medium","35.172"
"Brazil","2010-2015","Medium","15.798"
"British Virgin Islands","2010-2015","Medium",""
"Brunei Darussalam","2010-2015","Medium","6.492"
"Bulgaria","2010-2015","Medium","8.323"
"Burkina Faso","2010-2015","Medium","64.771"
"Burundi","2010-2015","Medium","77.850"
"Cabo Verde","2010-2015","Medium","22.468"
"Cambodia","2010-2015","Medium","29.905"
"Cameroon","2010-2015","Medium","67.544"
"Canada","2010-2015","Medium","4.726"
"Caribbean","2010-2015","Medium","26.981"
"Caribbean Netherlands","2010-2015","Medium",""
"Cayman Islands","2010-2015","Medium",""
"Central African Republic","2010-2015","Medium","93.500"
"Central America","2010-2015","Medium","19.999"
"Central Asia","2010-2015","Medium","28.527"
"Chad","2010-2015","Medium","91.233"
"Channel Islands","2010-2015","Medium","7.861"
"Chile","2010-2015","Medium","7.357"
"China","2010-2015","Medium","11.649"
"China Hong Kong SAR","2010-2015","Medium","1.589"
"China Macao SAR","2010-2015","Medium","3.041"
"Other non-specified areas","2010-2015","Medium","4.235"
"Cô´te d'Ivoire","2010-2015","Medium","71.624"
"Colombia","2010-2015","Medium","17.908"
"Comoros","2010-2015","Medium","58.086"
"Congo","2010-2015","Medium","46.517"
