,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
United Nations,,,,,,,,,,,,,,,,,
Population Division,,,,,,,,,,,,,,,,,
Department of Economic and Social Affairs,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
World Population Prospects: The 2017 Revision,,,,,,,,,,,,,,,,,
"File MORT/1-1: Infant mortality rate (both sexes combined) by region, subregion and country, 1950-2100 (infant deaths per 1,000 live births)",,,,,,,,,,,,,,,,,
"Estimates, 1950 - 2015",,,,,,,,,,,,,,,,,
POP/DB/WPP/Rev.2017/MORT/F01-1,,,,,,,,,,,,,,,,,
June 2017 - Copyright © 2017 by United Nations. All rights reserved,,,,,,,,,,,,,,,,,
"Suggested citation: United Nations, Department of Economic and Social Affairs, Population Division (2017). World Population Prospects: The 2017 Revision, DVD Edition.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,"Infant mortality rate, 1q0, for both sexes combined (infant deaths per 1,000 live births)",,,,,,,,,,,,
Index,Variant,"Region, subregion, country or area *",Notes,Country code,1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015
1,Estimates,WORLD,,900,   142,   130,   122,   105,   95,   85,   75,   67,   63,   57,   49,   41,   35
2,Estimates,More developed regions,a,901,   59,   43,   33,   26,   21,   18,   15,   13,   11,   9,   7,   6,   5
3,Estimates,Less developed regions,b,902,   161,   149,   139,   118,   106,   95,   84,   74,   69,   63,   54,   45,   38
4,Estimates,Least developed countries,c,941,   202,   184,   168,   154,   151,   137,   125,   114,   107,   93,   79,   66,   56
5,Estimates,"Less developed regions, excluding least developed countries",d,934,   155,   144,   135,   112,   99,   87,   76,   66,   61,   54,   47,   39,   33
6,Estimates,"Less developed regions, excluding China",,948,   177,   157,   142,   129,   119,   106,   94,   83,   76,   68,   58,   50,   43
7,Estimates,High-income countries,e,1503,   53,   45,   37,   30,   23,   18,   14,   12,   9,   7,   6,   6,   5
8,Estimates,Middle-income countries,e,1517,   155,   143,   134,   113,   101,   90,   78,   68,   63,   57,   48,   40,   33
9,Estimates,Upper-middle-income countries,e,1502,   131,   123,   121,   92,   75,   61,   50,   43,   39,   33,   26,   19,   15
10,Estimates,Lower-middle-income countries,e,1501,   183,   163,   148,   135,   126,   112,   99,   88,   79,   70,   60,   51,   44
11,Estimates,Low-income countries,e,1500,   195,   177,   165,   151,   140,   132,   124,   116,   112,   98,   83,   70,   60
12,Estimates,Sub-Saharan Africa,f,947,   185,   170,   157,   145,   134,   123,   116,   112,   111,   101,   87,   74,   62
13,Estimates,AFRICA,,903,   188,   171,   157,   145,   134,   121,   111,   104,   102,   93,   81,   68,   57
14,Estimates,Eastern Africa,,910,   180,   165,   150,   138,   129,   121,   117,   112,   112,   94,   77,   63,   52
15,Estimates,Burundi,,108,   167,   158,   149,   140,   137,   125,   117,   112,   121,   103,   95,   86,   78
16,Estimates,Comoros,,174,   192,   180,   167,   154,   139,   127,   109,   93,   81,   74,   73,   67,   58
