disasterNumber,declarationDate,disasterName,incidentBeginDate,incidentEndDate,declarationType,stateCode,stateName,incidentType,entryDate,updateDate,closeoutDate,hash,lastRefresh
3397,2018-02-11T00:00:00.000Z,TROPICAL STORM GITA,2018-02-07T00:00:00.000Z,,Emergency,AS,American Samoa                ,Hurricane,2018-02-11T00:00:00.000Z,2018-02-11T00:00:00.000Z,,601a2ef0e1628e579a9663cb96f1e142,2018-03-09T18:41:52.618Z
3390,2017-09-18T00:00:00.000Z,HURRICANE MARIA,2017-09-16T00:00:00.000Z,2017-09-22T00:00:00.000Z,Emergency,VI,Virgin Islands of the U.S.    ,Hurricane,2017-09-18T00:00:00.000Z,2017-11-22T00:00:00.000Z,,eb044c0ecbfd57fde494d05dc222817a,2018-03-09T18:41:52.624Z
4352,2017-12-20T00:00:00.000Z,SEVERE STORMS AND FLOODING,2017-10-04T00:00:00.000Z,2017-10-06T00:00:00.000Z,Major Disaster,NM,New Mexico                    ,Flood,2017-12-21T00:00:00.000Z,2017-12-21T00:00:00.000Z,,28c034094b161036551d4ca983d36987,2018-03-09T18:41:52.621Z
3388,2017-09-08T00:00:00.000Z,HURRICANE IRMA,2017-09-04T00:00:00.000Z,2017-10-04T00:00:00.000Z,Emergency,FL,Florida                       ,Hurricane,2017-09-09T00:00:00.000Z,2018-04-03T00:00:00.000Z,2018-03-28T00:00:00.000Z,94abc92dbd1b4c00495721a491e60e8c,2018-04-03T22:01:53.622Z
3395,2017-10-08T00:00:00.000Z,HURRICANE NATE,2017-10-07T00:00:00.000Z,2017-10-11T00:00:00.000Z,Emergency,FL,Florida                       ,Hurricane,2017-10-08T00:00:00.000Z,2017-10-13T00:00:00.000Z,,c6fed05afd22db69c462c9756cf9de79,2018-03-09T18:41:52.623Z
3392,2017-10-06T00:00:00.000Z,TROPICAL STORM NATE,2017-10-05T00:00:00.000Z,2017-10-08T00:00:00.000Z,Emergency,LA,Louisiana                     ,Hurricane,2017-10-06T00:00:00.000Z,2017-10-13T00:00:00.000Z,,f6516ccb149fea3842558c8a15114d84,2018-03-09T18:41:52.623Z
4332,2017-08-25T00:00:00.000Z,HURRICANE HARVEY,2017-08-23T00:00:00.000Z,2017-09-15T00:00:00.000Z,Major Disaster,TX,Texas                         ,Hurricane,2017-08-26T00:00:00.000Z,2017-09-15T00:00:00.000Z,,d5742a7aa55dabde28d1e38c7c1647d2,2018-03-09T18:41:52.626Z
4348,2017-11-14T00:00:00.000Z,FLOODING,2017-05-02T00:00:00.000Z,2017-08-06T00:00:00.000Z,Major Disaster,NY,New York                      ,Flood,2017-11-14T00:00:00.000Z,2017-11-14T00:00:00.000Z,,a106274a3d9e4150f3a28ecaf0b82bf2,2018-03-09T18:41:52.622Z
3384,2017-09-05T00:00:00.000Z,HURRICANE IRMA,2017-09-05T00:00:00.000Z,2017-09-07T00:00:00.000Z,Emergency,PR,Puerto Rico                   ,Hurricane,2017-09-06T00:00:00.000Z,2017-09-18T00:00:00.000Z,,0723bc35711d72c96774b03a057201d4,2018-03-09T18:41:52.625Z
4327,2017-08-05T00:00:00.000Z,FLOODING,2017-06-07T00:00:00.000Z,2017-06-22T00:00:00.000Z,Major Disaster,WY,Wyoming                       ,Flood,2017-08-06T00:00:00.000Z,2017-08-06T00:00:00.000Z,,4f42752a74253f098fc880553cfe335b,2018-03-09T18:41:52.631Z
4302,2017-02-14T00:00:00.000Z,SEVERE WINTER STORM,2017-01-03T00:00:00.000Z,2017-01-05T00:00:00.000Z,Major Disaster,CA,California                    ,Severe Storm(s),2017-02-15T00:00:00.000Z,2017-02-15T00:00:00.000Z,,2aaeeee48be0faff4e150a48e449f6d4,2018-03-09T18:41:52.633Z
4342,2017-10-07T00:00:00.000Z,FLOODING,2017-03-29T00:00:00.000Z,2017-06-15T00:00:00.000Z,Major Disaster,ID,Idaho                         ,Flood,2017-10-07T00:00:00.000Z,2017-10-07T00:00:00.000Z,,16420e17b50aa53bd5e91772f7e4f42a,2018-03-09T18:41:52.636Z
4328,2017-08-08T00:00:00.000Z,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2017-01-07T00:00:00.000Z,2017-01-10T00:00:00.000Z,Major Disaster,OR,Oregon                        ,Severe Storm(s),2017-08-08T00:00:00.000Z,2017-08-08T00:00:00.000Z,,eceafe6d486515ac99acb791b45f1689,2018-03-09T18:41:52.639Z
