"REGISTRY_ID","PGM_SYS_ACRNM","PGM_SYS_ID","ALTERNATIVE_NAME","ALTERNATIVE_NAME_TYPE"
"110000307668","RCRAINFO","PRD090122136","H B FULLER CO","PROGRAM NAME"
"110000307668","NCDB","I02#199611250001  1","H B FULLER CO, PUERTO RICO","PROGRAM NAME"
"110000307668","NCDB","I02#19880913A2001 2","H.B. FULLER CO OF PR","PROGRAM NAME"
"110000307668","TRIS","00619HBFLLCALLE","H B FULLER CO HBF-PUERTO RICO","PROGRAM NAME"
"110000307695","TRIS","00620RMCCH83EST","RAMCO CHEMICALS INC","PROGRAM NAME"
"110000307739","TRIS","00659CNTRLRD2KM","ADM ALLIANCE NUTRITION OF PR LLC","PROGRAM NAME"
"110000307739","CEDRI","CEDRI98261","ADM ALLIANCE NUTRITION OF PR LLC","PROGRAM NAME"
"110000307739","NCDB","I02#199608200001  2","MASTER MIX OF PUERTO RICO, INC","PROGRAM NAME"
"110000307739","RCRAINFO","PRD091035535","MASTER MIX DE PR INC","PROGRAM NAME"
"110000307739","SSTS","001157PR002","ADM ALLIANCE NUTRITION OF PUERTO RICO","PROGRAM NAME"
"110000307757","NCDB","I02#1995042010770 1","CERVECERIA INDIA, INC DIV DE REFRESCOS","PROGRAM NAME"
"110000307757","RCRAINFO","PRD090096769","CERVECERIA INDIA INC","PRIMARY"
"110000307757","NPDES","PR0001341","CERVECERIA INDIA INC","PROGRAM NAME"
"110000307757","ICIS","35811","CERVECERIA INDIA INC","PROGRAM NAME"
"110000307757","TRIS","00709CRVCRCALLE","COMPANIA CERVECERA DE PUERTO RICO, INC.","PROGRAM NAME"
"110000307757","NPDES","PRR053120","COMPANIA CERVECERA DE PUERTO RICO","PROGRAM NAME"
"110000307757","NCDB","D02#E-02-2005-4301","CERVECERIA INDIA, INC","PROGRAM NAME"
"110000307757","RMP","100000182312","COMPANIA CERVECERA DE PUERTO RICO, INC.","PROGRAM NAME"
"110000307757","SEMS","PRC200400182","CERVECERIA INDIA INC. AMMONIA RELEASE","PROGRAM NAME"
"110000307766","AIRS/AFS","7209700009","STAR KIST CARIBE MAYAGUEZ","MAILING NAME"
"110000307766","AIR","PR0000007209700009","STAR KIST TUNA","PROGRAM NAME"
"110000307766","ICIS","40722","STAR KIST CARIBE INC","PROGRAM NAME"
"110000307766","RMP","100000121584","STAR KIST CARIBE, INC.","PROGRAM NAME"
"110000307766","ICIS","44370","STAR KIST CARIBE INC","PRIMARY"
"110000307766","ICIS","40722","STARKIST CARIBE, INC.","PRIMARY"
"110000307766","AIR","PR0000007209700009","STAR KIST CARIBE MAYAGUEZ","MAILING NAME"
"110000307766","TRIS","00709STRKSCARR3","STARKIST CARIBE INC","PROGRAM NAME"
"110000307766","AIRS/AFS","7209700009","STAR KIST TUNA","PROGRAM NAME"
"110000307766","ICIS","44370","STARKIST CARIBE, INC.","PROGRAM NAME"
"110000307775","SFDW","PR0458204","DESTILERIA SERRALLES","PROGRAM NAME"
"110000307775","RCRAINFO","PRD090452624","DESTILERIA SERRALLES INC","PROGRAM NAME"
"110000307775","NPDES","PRR053241","DESTILERIA SERRALLES, INC.","PROGRAM NAME"
"110000307775","TRIS","00715DSTLR331AH","DESTILERIA SERRALLES INC","PROGRAM NAME"
"110000307775","EIS","15511911","DESTILERIA SERRALLES","PROGRAM NAME"
"110000307775","NCDB","I02#19910801PR003 1","DESTILERIA SERRALLES, INC","PROGRAM NAME"
"110000307775","ICIS","1800045170","DESTILERIA SERRALLES INC","PROGRAM NAME"
"110000307775","AIR","PR0000007211300013","SERRALLES DISTILLERY, INC","PROGRAM NAME"
"110000307775","ICIS","3000009042","DISTILERIA SERRALLES","PROGRAM NAME"
"110000307775","AIRS/AFS","7211300013","SERRALLES DISTILLERY","PROGRAM NAME"
"110000307784","TRIS","00731SRLKNAVENU","HANES MENSWEAR INC. HANES MENSWEAR.","MAILING NAME"
"110000307784","TRIS","00731SRLKNAVENU","HANES MENSWEAR INC PONCE TEXTILES","PROGRAM NAME"
