"REGISTRY_ID","PGM_SYS_ACRNM","PGM_SYS_ID","INTEREST_TYPE","FED_STATE_CODE","START_DATE","START_DATE_QUALIFIER","END_DATE","END_DATE_QUALIFIER","SOURCE_OF_DATA","LAST_REPORTED_DATE","CREATE_DATE","UPDATE_DATE"
"110000307668","RCRAINFO","PRD090122136","UNSPECIFIED UNIVERSE","FEDERAL","02-SEP-1987 00:00:00","FIRST NOTIFICATION DATE","","","RCRAINFO","14-APR-2015 00:00:00","26-NOV-2007 10:36:22","28-MAY-2015 22:39:59"
"110000307668","TRIS","00619HBFLLCALLE","TRI REPORTER","","","","","","TRIS","","16-JUN-2000 22:37:19","31-DEC-2015 14:35:29"
"110000307668","NCDB","I02#19880913A2001 2","COMPLIANCE ACTIVITY","FEDERAL","","","","","NCDB","","07-MAY-2002 15:55:52","07-MAY-2002 15:55:52"
"110000307668","NCDB","I02#199611250001  1","COMPLIANCE ACTIVITY","FEDERAL","","","","","NCDB","","24-APR-2002 18:20:52","24-APR-2002 18:20:52"
"110000307695","TRIS","00620RMCCH83EST","TRI REPORTER","","","","","","TRIS","","16-JUN-2000 22:37:44","31-DEC-2015 14:35:29"
"110000307739","TRIS","00659CNTRLRD2KM","TRI REPORTER","","","","","","TRIS","27-MAY-2016 18:19:22","30-AUG-2013 08:31:21","27-MAY-2016 18:19:22"
"110000307739","CEDRI","CEDRI98261","COMPLIANCE AND EMISSIONS REPORTING","","","","","","CEDRI","12-FEB-2016 13:53:35","12-FEB-2016 11:41:40","12-FEB-2016 13:53:35"
"110000307739","SSTS","001157PR002","PESTICIDE PRODUCER","","","","","","SSTS","21-FEB-2017 15:26:30","23-APR-2009 15:48:00","21-FEB-2017 15:26:30"
"110000307739","RCRAINFO","PRD091035535","CESQG","FEDERAL","21-JUN-1996 00:00:00","FIRST NOTIFICATION DATE","","","RCRAINFO","06-OCT-2009 00:00:00","14-DEC-2001 18:24:16","09-MAY-2012 14:40:38"
"110000307739","NCDB","I02#199608200001  2","COMPLIANCE ACTIVITY","FEDERAL","","","","","NCDB","","24-APR-2002 18:19:43","24-SEP-2002 15:02:56"
"110000307757","ICIS","35811","FORMAL ENFORCEMENT ACTION","FEDERAL","29-MAR-1990 00:00:00","COMPLAINT/PROPOSED ORDER","","","ICIS","10-OCT-2000 13:10:49","27-MAR-1990 00:00:00","10-JUN-2003 00:00:00"
"110000307757","RCRAINFO","PRD090096769","SQG","FEDERAL","31-JAN-1996 00:00:00","FIRST NOTIFICATION DATE","","","RCRAINFO","14-APR-2015 00:00:00","10-AUG-2010 08:48:39","28-MAY-2015 22:44:24"
"110000307757","RMP","100000182312","RMP REPORTER","FEDERAL","21-JUN-1999 00:00:00","FIRST REPORT POSTMARK DATE","","","RMP","06-MAY-2013 00:00:00","30-MAY-2003 12:34:36","14-FEB-2014 11:05:20"
"110000307757","NPDES","PR0001341","ICIS-NPDES NON-MAJOR","FEDERAL","31-JUL-1974 00:00:00","ORIGINAL PERMIT ISSUE DATE","10-JUN-2008 00:00:00","PERMIT TERMINATION DATE","ICIS","27-SEP-2006 00:00:00","20-FEB-2007 13:56:27","03-SEP-2016 13:02:07"
"110000307757","CEDRI","CEDRI10018344","COMPLIANCE AND EMISSIONS REPORTING","","","","","","API","09-FEB-2018 12:32:51","13-JUL-2017 00:00:00","09-FEB-2018 12:32:51"
"110000307757","SEMS","PRC200400182","SUPERFUND (NON-NPL)","FEDERAL","","","","","SEMS","","22-MAY-2013 13:06:55","11-DEC-2015 00:04:42"
"110000307757","ICIS","35811","ENFORCEMENT/COMPLIANCE ACTIVITY","FEDERAL","08-OCT-2003 00:00:00","ACTUAL ACTIVITY DATE","","","ICIS","06-JUN-2004 14:57:34","27-APR-2004 13:04:28","21-JUN-2004 11:34:55"
"110000307757","NCDB","D02#E-02-2005-4301","COMPLIANCE ACTIVITY","FEDERAL","","","","","NCDB","","05-DEC-2005 14:28:06",""
"110000307757","TRIS","00709CRVCRCALLE","TRI REPORTER","","","","","","TRIS","18-MAY-2016 15:08:08","30-AUG-2013 08:30:58","18-MAY-2016 15:08:08"
"110000307757","NPDES","PRR053120","STORM WATER INDUSTRIAL","FEDERAL","","","","","ICIS","03-OCT-2015 00:00:00","10-NOV-2015 14:59:35","03-SEP-2016 12:49:12"
"110000307757","NPDES","PRR053120","ICIS-NPDES NON-MAJOR","FEDERAL","","","","","ICIS","03-OCT-2015 00:00:00","07-OCT-2015 13:37:15","03-SEP-2016 12:49:12"
