"REGISTRY_ID","PGM_SYS_ACRNM","PGM_SYS_ID","INTEREST_TYPE","NAICS_CODE","PRIMARY_INDICATOR","CODE_DESCRIPTION"
"110000307668","TRIS","00619HBFLLCALLE","TRI REPORTER","325520","PRIMARY","ADHESIVE MANUFACTURING."
"110000307739","TRIS","00659CNTRLRD2KM","TRI REPORTER","311119","PRIMARY","OTHER ANIMAL FOOD MANUFACTURING."
"110000307757","TRIS","00709CRVCRCALLE","TRI REPORTER","312120","PRIMARY","BREWERIES."
"110000307757","RCRAINFO","PRD090096769","SQG","31214","PRIMARY","DISTILLERIES"
"110000307757","RMP","100000182312","RMP REPORTER","311213","UNKNOWN","MALT MANUFACTURING."
"110000307757","RMP","100000182312","RMP REPORTER","31212","UNKNOWN","BREWERIES"
"110000307766","RMP","100000121584","RMP REPORTER","49312","UNKNOWN","REFRIGERATED WAREHOUSING AND STORAGE"
"110000307766","TRIS","00709STRKSCARR3","TRI REPORTER","311111","PRIMARY","DOG AND CAT FOOD MANUFACTURING."
"110000307766","AIRS/AFS","7209700009","AIR MINOR","311711","PRIMARY","SEAFOOD CANNING."
"110000307766","AIR","PR0000007209700009","AIR MAJOR","311711","PRIMARY","SEAFOOD CANNING."
"110000307775","TRIS","00715DSTLR331AH","TRI REPORTER","312140","PRIMARY","DISTILLERIES."
"110000307775","AIR","PR0000007211300013","AIR MAJOR","312140","PRIMARY","DISTILLERIES."
"110000307775","AIRS/AFS","7211300013","AIR MAJOR","312140","PRIMARY","DISTILLERIES."
"110000307775","EIS","15511911","AIR EMISSIONS CLASSIFICATION UNKNOWN","312140","PRIMARY","DISTILLERIES."
"110000307775","RCRAINFO","PRD090452624","SQG","312140","PRIMARY","DISTILLERIES."
"110000307775","RCRAINFO","PRD090452624","SQG","221310","SECONDARY","WATER SUPPLY AND IRRIGATION SYSTEMS."
"110000307784","TRIS","00731SRLKNAVENU","TRI REPORTER","315221","PRIMARY","MEN'S AND BOYS' CUT AND SEW UNDERWEAR AND NIGHTWEAR MANUFACTURING."
"110000307793","AIRS/AFS","7212170024","AIR MINOR","325520","PRIMARY","ADHESIVE MANUFACTURING."
"110000307793","TRIS","00747LCTTPNO9VQ","TRI REPORTER","325520","PRIMARY","ADHESIVE MANUFACTURING."
"110000307793","AIR","PR0000007212170024","AIR MINOR","325520","PRIMARY","ADHESIVE MANUFACTURING."
"110000307793","RCRAINFO","PRD090506239","LQG","32552","PRIMARY","ADHESIVE MANUFACTURING"
"110000307800","TRIS","00751PRPGRPRO3K","TRI REPORTER","221112","PRIMARY","FOSSIL FUEL ELECTRIC POWER GENERATION."
"110000307800","E-GGRT","1005504","GREENHOUSE GAS REPORTER","221112","PRIMARY","FOSSIL FUEL ELECTRIC POWER GENERATION."
"110000307800","AIR","PR0000007212300011","AIR MAJOR","221112","PRIMARY","FOSSIL FUEL ELECTRIC POWER GENERATION."
"110000307800","TRIS","00751PRPGRPRO3K","TRI REPORTER","221121","UNKNOWN","ELECTRIC BULK POWER TRANSMISSION AND CONTROL."
"110000307800","TRIS","00751PRPGRPRO3K","TRI REPORTER","221122","UNKNOWN","ELECTRIC POWER DISTRIBUTION."
"110000307800","RCRAINFO","PRD980644470","SQG","221111","PRIMARY","HYDROELECTRIC POWER GENERATION."
"110000307800","EIS","6958711","HAZARDOUS AIR POLLUTANT MAJOR","221112","PRIMARY","FOSSIL FUEL ELECTRIC POWER GENERATION."
"110000307800","AIRS/AFS","7212300011","AIR MAJOR","221112","PRIMARY","FOSSIL FUEL ELECTRIC POWER GENERATION."
"110000307837","RCRAINFO","PRD090564477","TSD","321114","PRIMARY","WOOD PRESERVATION."
"110000307837","TRIS","00759BRCWDCARR8","TRI REPORTER","321114","PRIMARY","WOOD PRESERVATION."
"110000307837","RCRAINFO","PRD090564477","CESQG","321114","PRIMARY","WOOD PRESERVATION."
"110000307846","RCRAINFO","PRD000692582","CESQG","335313","PRIMARY","SWITCHGEAR AND SWITCHBOARD APPARATUS MANUFACTURING."
"110000307846","TRIS","00765CRBGNRTE20","TRI REPORTER","335311","PRIMARY","POWER, DISTRIBUTION, AND SPECIALTY TRANSFORMER MANUFACTURING."
"110000307855","RCRAINFO","PRD049532807","LQG","325211","PRIMARY","PLASTICS MATERIAL AND RESIN MANUFACTURING."
"110000307855","TRIS","00768SRTRSROAD1","TRI REPORTER","333999","PRIMARY","ALL OTHER MISCELLANEOUS GENERAL PURPOSE MACHINERY MANUFACTURING."
"110000307855","AIR","PR0000007215300029","AIR MAJOR","333999","PRIMARY","ALL OTHER MISCELLANEOUS GENERAL PURPOSE MACHINERY MANUFACTURING."
