"REGISTRY_ID","PGM_SYS_ACRNM","PGM_SYS_ID","INTEREST_TYPE","AFFILIATION_TYPE","START_DATE","END_DATE","ORG_NAME","ORG_TYPE","DUNS_NUMBER","DIVISION_NAME","PHONE_NUMBER","ALTERNATE_PHONE","FAX_NUMBER","EMAIL_ADDRESS","EIN","STATE_BUSINESS_ID","MAILING_ADDRESS","SUPPLEMENTAL_ADDRESS","CITY_NAME","STATE_CODE","STATE_NAME","POSTAL_CODE","COUNTRY_NAME"
"110000307668","TRIS","00619HBFLLCALLE","TRI REPORTER","PARENT COMPANY","","","H B FULLER CO","PRIVATE","006159776","","","","","","","","","","","","","",""
"110000307739","SSTS","001157PR002","PESTICIDE PRODUCER","OWNER","","","ADM ANIMAL NUTRITION, A DIVISION OF ARCHER DANIELS MIDLAND COMPANY","UNKNOWN","","","","","","","","","","","","","","",""
"110000307739","TRIS","00659CNTRLRD2KM","TRI REPORTER","PARENT COMPANY","","","ARCHER DANIELS MIDLAND CO","PRIVATE","001307586","","","","","","","","","","","","","",""
"110000307739","SSTS","001157PR002","PESTICIDE PRODUCER","OWNER","","","ADM ALLIANCE NUTRITION,INC.","UNKNOWN","091035535","","","","","","","","","","","","","",""
"110000307757","RMP","100000182312","RMP REPORTER","OWNER/OPERATOR","","","ARLENE PAGÁN, PE","UNKNOWN","","","7878311136","","","","","","","","","","","",""
"110000307757","RMP","100000182312","RMP REPORTER","OWNER/OPERATOR MAILING ADDRESS","","","ARLENE PAGÁN, PE","UNKNOWN","","","7878311136","","","","","","","","","","","",""
"110000307757","NPDES","PR0001341","ICIS-NPDES NON-MAJOR","MAILING ADDRESS","","","CERVECERIA INDIA INC","UNKNOWN","","","","","","","","","","","","","","",""
"110000307766","RMP","100000121584","RMP REPORTER","OWNER/OPERATOR","","","H.J. HEINZ COMPANY","UNKNOWN","5828822","","","","","","","","","","","","","",""
"110000307766","TRIS","00709STRKSCARR3","TRI REPORTER","PARENT COMPANY","","","H J HEINZ CO","PRIVATE","004318846","","","","","","","","","","","","","",""
"110000307766","RMP","100000121584","RMP REPORTER","JOINT PARENT COMPANY","","","N/A","UNKNOWN","","","316-862-5831","","","","","","","","","","","",""
"110000307766","RMP","100000121584","RMP REPORTER","PARENT COMPANY","","","H.J. HEINZ COMPANY","UNKNOWN","5828822","","","","","","","","","","","","","",""
"110000307784","TRIS","00731SRLKNAVENU","TRI REPORTER","PARENT COMPANY","","","SARA LEE CORP","PRIVATE","005213962","","","","","","","","","","","","","",""
"110000307793","TSCA","200002225","TSCA SUBMITTER","OWNER","","","HENKEL CORP","PRIVATE","009152364","","","","","","","","","","","","","",""
"110000307793","RCRAINFO","PRD090506239","LQG","OWNER","01-JAN-1996 00:00:00","","HENKEL CORP","PRIVATE","051441731","","","","","","","","","","","","","",""
"110000307793","TSCA","200002225","TSCA SUBMITTER","OWNER","","","HENKEL CORPORATION","UNKNOWN","961199817","","4409377000","","","","","","","","","","","",""
"110000307793","RCRAINFO","PRD090506239","LQG","OPERATOR","01-JAN-1996 00:00:00","","HENKEL CORPORATION","PRIVATE","","","860-571-5100","","","","","","","","","","","",""
"110000307793","TSCA","200002765","TSCA SUBMITTER","OWNER","","","LOCTITE CORPORATION","PRIVATE","","","","","","","","","","","","","","",""
"110000307793","RCRAINFO","PRD090506239","LQG","OPERATOR","01-JAN-1996 00:00:00","","HENKEL CORP","PRIVATE","051441731","","","","","","","","","","","","","",""
"110000307793","TRIS","00747LCTTPNO9VQ","TRI REPORTER","PARENT COMPANY","","","HENKEL CORP","PRIVATE","051441731","","","","","","","","","","","","","",""
"110000307793","AIR","PR0000007212170024","AIR MINOR","COMPLIANCE CONTACT","","","HENKEL LOCTITE","UNKNOWN","","","7872647500","","","","","","","","","","","",""
"110000307793","TSCA","200002225","TSCA SUBMITTER","OWNER","","","HENKEL CORP","PRIVATE","051441731","","","","","","","","","","","","","",""
"110000307793","TSCA","200002225","TSCA SUBMITTER","OWNER","","","HENKEL CORPORATION","UNKNOWN","51441731","","","","","","","","","","","","","",""
"110000307793","RCRAINFO","PRD090506239","LQG","OWNER","01-JAN-1996 00:00:00","","HENKEL CORPORATION","PRIVATE","","","860-571-5100","","","","","","","","","","","",""
"110000307800","TRIS","00751PRPGRPRO3K","TRI REPORTER","PARENT COMPANY","","","PUERTO RICO ELECTRIC POWER AUTHORITY","PRIVATE","090034703","","","","","","","","","","","","","",""
"110000307800","NPDES","PR0001660","ICIS-NPDES MAJOR","MAILING ADDRESS","","","PUERTO RICO ELECTRIC POWER AUTHORITY","UNKNOWN","","","","","","","","","","","","","","",""
"110000307846","TRIS","00765CRBGNRTE20","TRI REPORTER","PARENT COMPANY","","","GE CO.","PRIVATE","001367960","","","","","","","","","","","","","",""
"110000307855","RCRAINFO","PRD049532807","LQG","OPERATOR","01-JAN-1984 00:00:00","","SARTORIUS STEDIM FILTERS, INC.","PRIVATE","","","","","","","","","","","","","","",""
"110000307855","TRIS","00768SRTRSROAD1","TRI REPORTER","PARENT COMPANY","","","SARTORIUS STEDIM BIOTECH","PRIVATE","049532807","","","","","","","","","","","","","",""
"110000491833","RCRAINFO","PRD981139611","LQG","OWNER","04-DEC-1986 00:00:00","","PALL CORP","UNKNOWN","","","8609287761","","","","","","","","","","","",""
"110000491833","TRIS","00738PLLPRRD19A","TRI REPORTER","PARENT COMPANY","","","PALL CORP","PRIVATE","002054419","","","","","","","","","","","","","",""
"110000491833","RCRAINFO","PRD981139611","LQG","OWNER","04-DEC-1986 00:00:00","","PALL CORPORATION","PRIVATE","","","","","","","","","","","","","","",""
"110000491833","RCRAINFO","PRD981139611","LQG","OPERATOR","01-AUG-2006 00:00:00","","PALL LIFE SICNECES PUERTO RICO, LLC","PRIVATE","","","","","","","","","","","","","","",""
"110000557004","RMP","100000119588","RMP REPORTER","PARENT COMPANY","","","PUERTO RICO AQUEDUCT AND SEWER AUTHORITY","UNKNOWN","","","","","","","","","","","","","","",""
"110000557004","RMP","100000119588","RMP REPORTER","OWNER/OPERATOR","","","COMPAÑÍA DE AGUAS DE PUERTO RICO","UNKNOWN","","","7878797211","7872817878","","","","","","","","","","",""
"110000557184","RMP","100000120102","RMP REPORTER","OWNER/OPERATOR","","","PUERTO RICO AQUEDUCT AND SEWER AUTHORITY","UNKNOWN","","","","","","","","","","","","","","",""
"110000557184","RMP","100000120102","RMP REPORTER","PARENT COMPANY","","","PUERTO RICO AQUEDUCT AND SEWER AUTHORITY","UNKNOWN","","","","","","","","","","","","","","",""
"110000557193","RMP","100000120148","RMP REPORTER","PARENT COMPANY","","","PUERTO RICO AQUEDUCT AND SEWER AUTHORITY","UNKNOWN","","","","","","","","","","","","","","",""
"110000557193","RMP","100000120148","RMP REPORTER","OWNER/OPERATOR","","","PUERTO RICO AQUEDUCT AND SEWER AUTHORITY","UNKNOWN","","","","","","","","","","","","","","",""
"110000557200","RMP","100000120184","RMP REPORTER","PARENT COMPANY","","","PUERTO RICO AQUEDUCT AND SEWER AUTHORITY","UNKNOWN","","","","","","","","","","","","","","",""
"110000557200","RMP","100000120184","RMP REPORTER","OWNER/OPERATOR","","","PUERTO RICO AQUEDUCT AND SEWER AUTHORITY","UNKNOWN","","","","","","","","","","","","","","",""
"110000557255","RMP","100000120291","RMP REPORTER","OWNER/OPERATOR","","","PUERTO RICO AQUEDUCT AND SEWER AUTHORITY","UNKNOWN","","","","","","","","","","","","","","",""
"110000557255","RMP","100000120291","RMP REPORTER","PARENT COMPANY","","","PUERTO RICO AQUEDUCT AND SEWER AUTHORITY","UNKNOWN","","","","","","","","","","","","","","",""
"110000557255","NPDES","PR0025721","ICIS-NPDES NON-MAJOR","OWNER","","","PRASA - GUAIATACA WTP","UNKNOWN","","","8097582305","","","","","","","","","","","",""
"110000557255","NPDES","PR0025721","ICIS-NPDES NON-MAJOR","MAILING ADDRESS","","","PRASA - GUAJATACA WTP","UNKNOWN","","","","","","","","","","","","","","",""
"110000557255","NPDES","PR0025721","ICIS-NPDES NON-MAJOR","OPERATOR","","","MITZIE PEREZ PADILLA","UNKNOWN","","","","","","","","","","","","","","",""
"110000557424","RMP","100000121441","RMP REPORTER","OWNER/OPERATOR","","","PUERTO RICO AQUEDUCT AND SEWER AUTHORITY","UNKNOWN","","","","","","","","","","","","","","",""
"110000557424","NPDES","PR0020427","POTW","MAILING ADDRESS","","","PRASA CIALES","UNKNOWN","","","","","","","","","","","","","","",""
"110000557424","NPDES","PR0020427","ICIS-NPDES MAJOR","MAILING ADDRESS","","","PRASA CIALES","UNKNOWN","","","","","","","","","","","","","","",""
"110000557424","NPDES","PRL020427","BIOSOLIDS","MAILING ADDRESS","","","PRASA CIALES","UNKNOWN","","","","","","","","","","","","","","",""
"110000557424","NPDES","PRL020427","ICIS-NPDES NON-MAJOR","MAILING ADDRESS","","","PRASA CIALES","UNKNOWN","","","","","","","","","","","","","","",""
"110000557424","RMP","100000121441","RMP REPORTER","PARENT COMPANY","","","PUERTO RICO AQUEDUCT AND SEWER AUTHORITY","UNKNOWN","","","","","","","","","","","","","","",""
"110000557424","NPDES","PR0020427","NPDES PRETREATMENT PROGRAM","MAILING ADDRESS","","","PRASA CIALES","UNKNOWN","","","","","","","","","","","","","","",""
"110000557497","RMP","100000121646","RMP REPORTER","PARENT COMPANY","","","PUERTO RICO AQUEDUCT AND SEWER AUTHORITY","UNKNOWN","","","","","","","","","","","","","","",""
"110000557497","RMP","100000121646","RMP REPORTER","OWNER/OPERATOR","","","PUERTO RICO AQUEDUCT AND SEWER AUTHORITY","UNKNOWN","","","","","","","","","","","","","","",""
"110000557549","RMP","100000121815","RMP REPORTER","OWNER/OPERATOR","","","PUERTO RICO AQUEDUCT AND SEWER AUTHORITY","UNKNOWN","","","","","","","","","","","","","","",""
"110000557549","RMP","100000121815","RMP REPORTER","PARENT COMPANY","","","PUERTO RICO AQUEDUCT AND SEWER AUTHORITY","UNKNOWN","","","","","","","","","","","","","","",""
"110000561062","RMP","100000123332","RMP REPORTER","OWNER/OPERATOR","","","PUERTO RICO AQUEDUCT AND SEWER AUTHORITY","UNKNOWN","","","","","","","","","","","","","","",""
"110000561062","RMP","100000123332","RMP REPORTER","PARENT COMPANY","","","PUERTO RICO AQUEDUCT AND SEWER AUTHORITY","UNKNOWN","","","","","","","","","","","","","","",""
"110000561222","NPDES","PR0020745","ICIS-NPDES MAJOR","MAILING ADDRESS","","","PRASA OROCOVIS","UNKNOWN","","","","","","","","","","","","","","",""
"110000561222","RMP","100000123822","RMP REPORTER","PARENT COMPANY","","","PUERTO RICO AQUEDUCT AND SEWER AUTHORITY","UNKNOWN","","","","","","","","","","","","","","",""
"110000561222","RMP","100000123822","RMP REPORTER","OWNER/OPERATOR","","","PUERTO RICO AQUEDUCT AND SEWER AUTHORITY","UNKNOWN","","","","","","","","","","","","","","",""
"110000561222","NPDES","PR0020745","POTW","MAILING ADDRESS","","","PRASA OROCOVIS","UNKNOWN","","","","","","","","","","","","","","",""
"110000561259","RMP","100000123948","RMP REPORTER","OWNER/OPERATOR","","","SHARETECH-OMAR MUÑIZ PE & ASSOCIATES","UNKNOWN","","","7877205869","","","","","","","","","","","",""
"110000561259","RMP","100000123948","RMP REPORTER","PARENT COMPANY","","","PUERTO RICO AQUEDUCT AND SEWER AUTHORITY","UNKNOWN","","","","","","","","","","","","","","",""
"110000561259","RMP","100000123948","RMP REPORTER","OWNER/OPERATOR MAILING ADDRESS","","","SHARETECH-OMAR MUÑIZ PE & ASSOCIATES","UNKNOWN","","","7877205869","","","","","","","","","","","",""
"110000561259","NPDES","PR0022705","ICIS-NPDES NON-MAJOR","MAILING ADDRESS","","","PRASA WTP OROCOVIS","UNKNOWN","","","","","","","","","","","","","","",""
"110000561419","NPDES","PR0020460","NPDES PRETREATMENT PROGRAM","MAILING ADDRESS","","","PRASA DORADO","UNKNOWN","","","","","","","","","","","","","","",""
"110000561419","NPDES","PRL020460","BIOSOLIDS","MAILING ADDRESS","","","PRASA DORADO","UNKNOWN","","","","","","","","","","","","","","",""
