"REGISTRY_ID","PGM_SYS_ACRNM","PGM_SYS_ID","INTEREST_TYPE","SIC_CODE","PRIMARY_INDICATOR","CODE_DESCRIPTION"
"110000307668","NCDB","I02#199611250001  1","COMPLIANCE ACTIVITY","2891","PRIMARY","ADHESIVES AND SEALANTS"
"110000307668","NCDB","I02#19880913A2001 2","COMPLIANCE ACTIVITY","2891","PRIMARY","ADHESIVES AND SEALANTS"
"110000307668","TRIS","00619HBFLLCALLE","TRI REPORTER","2891","PRIMARY","ADHESIVES AND SEALANTS"
"110000307695","TRIS","00620RMCCH83EST","TRI REPORTER","2842","PRIMARY","SPECIALTY CLEANING, POLISHING, AND SANITATION PREPARATIONS"
"110000307739","NCDB","I02#199608200001  2","COMPLIANCE ACTIVITY","2048","PRIMARY","PREPARED FEEDS AND FEED INGREDIENTS FOR ANIMALS AND FOWLS, EXCEPT DOGS AND CATS"
"110000307757","NPDES","PR0001341","ICIS-NPDES NON-MAJOR","2082","PRIMARY","MALT BEVERAGES"
"110000307757","NPDES","PRR053120","STORM WATER INDUSTRIAL","2082","PRIMARY","MALT BEVERAGES"
"110000307757","NPDES","PRR053120","ICIS-NPDES NON-MAJOR","2082","PRIMARY","MALT BEVERAGES"
"110000307766","ICIS","40722","FORMAL ENFORCEMENT ACTION","2091","PRIMARY","CANNED AND CURED FISH AND SEAFOODS"
"110000307766","ICIS","44370","FORMAL ENFORCEMENT ACTION","2048","SECONDARY","PREPARED FEEDS AND FEED INGREDIENTS FOR ANIMALS AND FOWLS, EXCEPT DOGS AND CATS"
"110000307766","TRIS","00709STRKSCARR3","TRI REPORTER","2048","SECONDARY","PREPARED FEEDS AND FEED INGREDIENTS FOR ANIMALS AND FOWLS, EXCEPT DOGS AND CATS"
"110000307766","ICIS","44370","FORMAL ENFORCEMENT ACTION","2091","PRIMARY","CANNED AND CURED FISH AND SEAFOODS"
"110000307766","TRIS","00709STRKSCARR3","TRI REPORTER","2091","SECONDARY","CANNED AND CURED FISH AND SEAFOODS"
"110000307766","AIRS/AFS","7209700009","AIR MINOR","2091","PRIMARY","CANNED AND CURED FISH AND SEAFOODS"
"110000307766","AIR","PR0000007209700009","AIR MAJOR","2091","PRIMARY","CANNED AND CURED FISH AND SEAFOODS"
"110000307766","TRIS","00709STRKSCARR3","TRI REPORTER","2047","PRIMARY","DOG AND CAT FOOD"
"110000307766","ICIS","44370","FORMAL ENFORCEMENT ACTION","2047","SECONDARY","DOG AND CAT FOOD"
"110000307766","ICIS","40722","ENFORCEMENT/COMPLIANCE ACTIVITY","2091","PRIMARY","CANNED AND CURED FISH AND SEAFOODS"
"110000307775","AIRS/AFS","7211300013","AIR MAJOR","2085","PRIMARY","DISTILLED AND BLENDED LIQUORS"
"110000307775","AIR","PR0000007211300013","AIR MAJOR","2085","PRIMARY","DISTILLED AND BLENDED LIQUORS"
"110000307775","NPDES","PRR053241","STORM WATER INDUSTRIAL","2085","PRIMARY","DISTILLED AND BLENDED LIQUORS"
