Username,Profile name,Bio,Profile picture,URL,Name,LastName,Location,Website,Following,Followers,Tweets,Verified,City,Country,Linkedin
@_ritacosta_,Rita Costa,Data Journalist @publico | Searching for innovative ways to communicate news stories | Sometimes I dream about numbers  | R + Python beginner,https://pbs.twimg.com/profile_images/890605616896647168/Fx9tnCTT_normal.jpg,https://twitter.com/_ritacosta_,Rita,Costa,,undefined,1256,313,386,no,Lisboa,Portugal,
@_SandraSM_,Sandra Sánchez,Periodismo | Datos | Marketing Digital. Especializada en SEO/SEM.,https://pbs.twimg.com/profile_images/1016988527362535424/fhd0a29v_normal.jpg,https://twitter.com/_SandraSM_,Sandra,Sánchez,Madrid,https://t.co/gbAhWM45TF,790,1128,"15,3 ",no,Madrid,Spain,
@_Yosune,Yosune,#infoDesign #Datavis @pajaropolitico #MatarEnMéxico @NarcoData #LaEstafaMaestra #EmpresasFantasma #Trendlecciones. @IIIDtweet World Regional Representative MX,https://pbs.twimg.com/profile_images/878328338103713797/NuQqu6d8_normal.jpg,https://twitter.com/_Yosune,Yosune,Yosune,Mexico,undefined,780,1537,4036,no,Mexico,Mexico,
@91_pometti,Mara Pometti,"Data Journalist. Co-author “Comunicare con i Dati”. From Milan, living in Los Angeles @uscannenberg alumna - Formerly @accuratstudio -",https://pbs.twimg.com/profile_images/983595468499255296/Ytra20Dh_normal.jpg,https://twitter.com/91_pometti,Mara,Pometti,"Los Angeles, CA",https://t.co/t1Qj2OYLY6,1780,430,769,no,Los Angeles,USA,
@aghniaadzkia,Aghnia Adzkia,Data journalist at @BeritagarID | Graduate of @GoldsmithsMADJ in London | organiser of a free monthly data perks meet up @Journocoders_id,https://pbs.twimg.com/profile_images/890283590981910528/NWAvHlBY_normal.jpg,https://twitter.com/aghniaadzkia,Aghnia,Adzkia,"Jakarta, Indonesia",undefined,1252,2275,11700,no,Jakarta,Indonesia,
@aguspr89,Agus tinA,"Periodista, ex @laverdad_es Ali @sextaNoticias - #ddj y #transparencia en @M_investigacion - Chocolate junkie",https://pbs.twimg.com/profile_images/808726352304214021/bDxA9tKl_normal.jpg,https://twitter.com/aguspr89,Agus,tinA,Spain,undefined,1088,282,489,no,Madrid,Spain,
@ajmnoble,Anna Noble,Tableau & Alteryx Consultant @infolabUK  @dataschooluk |  Journalist & Editor @prisonsunlocked,https://pbs.twimg.com/profile_images/650574695121723392/WRn-aLjE_normal.jpg,https://twitter.com/ajmnoble,Anna,Noble,,https://t.co/obBxS1wIu7,1107,713,1697,no,,,
@alekswis,Aleksandra Wisniewska,Visual Projects Editor @FinancialTimes | aleks.wisniewska@ft.com,https://pbs.twimg.com/profile_images/746097136647946240/t3m3yPGh_normal.jpg,https://twitter.com/alekswis,Aleksandra,Wisniewska,London,https://t.co/QpO2mn8RGl,2411,2973,5820,Cuenta verificada,London,UK,
@AlePadillaRmz,Alejandra Padilla,"Periodismo + datos | Data Journalism   Escribo en @SerendipiaData  Primeros pasos en @SinEmbargoMX   Colabs en @MT_enMEXICO alejandra@serendipia.digital",https://pbs.twimg.com/profile_images/948779586057326592/KmTGVNGs_normal.jpg,https://twitter.com/AlePadillaRmz,Alejandra,Padilla,Mx,https://t.co/thqhDoXWyr,2300,1767,16900,no,Mexico,Mexico,
@alli_shultes92,Alli Shultes,Outreach producer @BBC_News_Labs. Formerly @AJListeningPost & @GoldsmithsMADJ. Views all my own.,https://pbs.twimg.com/profile_images/654055707772362752/symN-1-B_normal.jpg,https://twitter.com/alli_shultes92,Alli,Shultes,"London, England",undefined,1042,636,1123,no,London,UK,
@Ana_Cordobes,Ana Isabel Cordobés,Periodista de datos. Dirigiendo @cuartopoder y dateando en @Los40. Enseño Narración Digital en @UNIRuniversidad. Contacto: anaicordobes@gmail.com,https://pbs.twimg.com/profile_images/1017182118345134080/lz_wN55Y_normal.jpg,https://twitter.com/Ana_Cordobes,Ana Isabel,Cordobés,Pamplona/Iruñea,https://t.co/8Wq3NXlQJM,771,2283,43900,no,Pamplona,Spain,
@anagomezparra,Ana Gómez Parra,"Periodista. Vivo al revés. Fines de semana en @elconfidencial.
 @M_Investigacion #DDJ",https://pbs.twimg.com/profile_images/536860728599117824/f2NXBKN7_normal.jpeg,https://twitter.com/anagomezparra,Ana,Gómez Parra,Madrid,undefined,1361,382,156,no,Madrid,Spain,
@AnaOrdaz_,Ana Ordaz,Periodista. Ahora aprendiendo y haciendo cosas con datos en @eldiarioes. De la cantera de @M_Investigacion. Siempre tengo los pies fríos.,https://pbs.twimg.com/profile_images/981492125408944133/X-YECKvC_normal.jpg,https://twitter.com/AnaOrdaz_,Ana,Ordaz,Madrid | Sevilla,https://t.co/vgfVOJjiAE,1031,733,3304,no,Madrid,Spain,
@anastasiajourno,Anastasia Valeeva,"Co-founder at School of Data Kyrgyzstan,Data Journalism Lecturer at AUCA, Data editor & trainer",https://pbs.twimg.com/profile_images/937004147081203715/DwpVCm0b_normal.jpg,https://twitter.com/anastasiajourno,Anastasia,Valeeva,Kyrgyzstan,https://t.co/zw9wrtjNPZ,835,564,531,no,No data,Kyrgyzstan,
@AnnieGouk,Annie Gouk,Data journalist at the Trinity Mirror data unit,https://pbs.twimg.com/profile_images/966691846939389952/xLe_LSro_normal.jpg,https://twitter.com/AnnieGouk,Annie,Gouk,UK,undefined,139,301,309,no,London,UK,
@arago_la,Laura Aragó,Periodista especialitzada en #periodismodatos #ddj | Made in @M_Investigacion | Journalist at @LaVanguardia,https://pbs.twimg.com/profile_images/984020429819056134/h3ywtwop_normal.jpg,https://twitter.com/arago_la,Laura,Aragó,Entre Barcelona i Madrid,https://t.co/wqJHuoWtFk,600,751,265,no,Barcelona,Spain,
@arancruzmar,Aránzazu Cruz,Computer Engineer and Journalist. Digital communication. I like data.,falta foto,https://twitter.com/arancruzmar,Aránzazu,Cruz,Madrid,https://t.co/bo2sGUEV8M,737,806,5475,no,Madrid,Spain,
@aranhera,Aranzazú Ayala Mtz,"Latina, raver, chofer, periodista en formación. Reportera en @ladobemx, colaboradora en @mongabayLatam",https://pbs.twimg.com/profile_images/909528113004077056/p3BaWvy8_normal.jpg,https://twitter.com/aranhera,Aranzazú,Ayala Mtz,Latinoamérica,http://t.co/mVmXWbD5Ef,996,2026,29600,no,Mexico,Mexico,
