Topic,Households Estimate,Margin of Error,Families Estimate,Margin of Error,Married-couple families Estimate,Margin of Error,Nonfamily households Estimate,Margin of Error
Total,"1227039","+/-3,433","912888","+/-3,748","545249","+/-3,377","314151","+/-3,528"
"Less than $10,000",29.8,+/-0.3,24.7,+/-0.3,14.5,+/-0.3,48.1,+/-0.5
"$10,000 to $14,999",12.6,+/-0.2,11.8,+/-0.2,11.4,+/-0.3,15.3,+/-0.4
"$15,000 to $24,999",17.7,+/-0.2,18.7,+/-0.2,18.9,+/-0.3,14.8,+/-0.4
"$25,000 to $34,999",12.3,+/-0.2,13.4,+/-0.2,14.6,+/-0.3,8.2,+/-0.3
"$35,000 to $49,999",11.5,+/-0.2,12.9,+/-0.2,15.3,+/-0.3,6.3,+/-0.3
"$50,000 to $74,999",9.1,+/-0.2,10.4,+/-0.2,13.7,+/-0.3,4.2,+/-0.2
"$75,000 to $99,999",3.3,+/-0.1,3.8,+/-0.1,5.4,+/-0.2,1.5,+/-0.1
"$100,000 to $149,999",2.4,+/-0.1,2.7,+/-0.1,4.0,+/-0.1,1.1,+/-0.1
"$150,000 to $199,999",0.6,+/-0.1,0.7,+/-0.1,1.1,+/-0.1,0.3,+/-0.1
"$200,000 or more",0.7,+/-0.1,0.8,+/-0.1,1.2,+/-0.1,0.3,+/-0.1
Median income (dollars),"18791",+/-158,"21764",+/-179,"28307",+/-286,"10538",+/-138
Mean income (dollars),"29325",+/-205,"32302",+/-240,"40193",+/-374,"18432",+/-330
Household income in the past 12 months,21.3,(X),(X),(X),(X),(X),(X),(X)
Family income in the past 12 months,(X),(X),22.8,(X),(X),(X),(X),(X)
Nonfamily income in the past 12 months,(X),(X),(X),(X),(X),(X),14.8,(X)
