Title,Disaster Number,Incident End Date,Incident Begin Date,Multiple Disaster,Duration
TORNADO,1,1953-05-02T00:00:00.000Z,1953-05-02T00:00:00.000Z,False,1
FLOOD,3,1953-05-29T00:00:00.000Z,1953-05-29T00:00:00.000Z,False,1
FLOOD,9,1953-06-19T00:00:00.000Z,1953-06-19T00:00:00.000Z,False,1
SEVERE HARDSHIP,31,1954-11-10T00:00:00.000Z,1954-11-10T00:00:00.000Z,False,1
FLOOD & TORNADO,35,1955-06-01T00:00:00.000Z,1955-06-01T00:00:00.000Z,True,1
FLOOD,17,1954-06-23T00:00:00.000Z,1954-06-23T00:00:00.000Z,False,1
FLOOD,12,1953-10-22T00:00:00.000Z,1953-10-22T00:00:00.000Z,False,1
FLOODS,5,1953-06-06T00:00:00.000Z,1953-06-06T00:00:00.000Z,False,1
FLOOD,21,1954-08-04T00:00:00.000Z,1954-08-04T00:00:00.000Z,False,1
HURRICANES,26,1954-10-07T00:00:00.000Z,1954-10-07T00:00:00.000Z,False,1
SEVERE HARDSHIP,46,1955-12-22T00:00:00.000Z,1955-12-22T00:00:00.000Z,False,1
VOLCANO,32,1955-04-01T00:00:00.000Z,1955-04-01T00:00:00.000Z,False,1
HURRICANES,37,1955-08-13T00:00:00.000Z,1955-08-13T00:00:00.000Z,False,1
HURRICANES,25,1954-09-17T00:00:00.000Z,1954-09-17T00:00:00.000Z,False,1
TORNADO,6,1953-06-09T00:00:00.000Z,1953-06-09T00:00:00.000Z,False,1
FLOOD,30,1954-10-26T00:00:00.000Z,1954-10-26T00:00:00.000Z,False,1
FLOOD,20,1954-07-31T00:00:00.000Z,1954-07-31T00:00:00.000Z,False,1
FOREST FIRE,11,1953-07-02T00:00:00.000Z,1953-07-02T00:00:00.000Z,False,1
HURRICANE & FLOODS,45,1955-08-22T00:00:00.000Z,1955-08-22T00:00:00.000Z,True,1
HURRICANES,22,1954-09-02T00:00:00.000Z,1954-09-02T00:00:00.000Z,False,1
HURRICANE & FLOODS,41,1955-08-20T00:00:00.000Z,1955-08-20T00:00:00.000Z,True,1
FLOOD & EROSION,15,1954-02-05T00:00:00.000Z,1954-02-05T00:00:00.000Z,True,1
FLOOD,36,1955-06-21T00:00:00.000Z,1955-06-21T00:00:00.000Z,False,1
TORNADO,16,1954-03-17T00:00:00.000Z,1954-03-17T00:00:00.000Z,False,1
FLOODS & RAINS,40,1955-08-20T00:00:00.000Z,1955-08-20T00:00:00.000Z,True,1
FLOOD,27,1954-10-13T00:00:00.000Z,1954-10-13T00:00:00.000Z,False,1
TORNADOES & FLOODS,102,1960-05-28T00:00:00.000Z,1960-05-28T00:00:00.000Z,True,1
SEVERE HARDSHIP,13,1953-10-30T00:00:00.000Z,1953-10-30T00:00:00.000Z,False,1
FLOODS,93,1959-07-08T00:00:00.000Z,1959-07-08T00:00:00.000Z,False,1
FLOOD,92,1959-07-08T00:00:00.000Z,1959-07-08T00:00:00.000Z,False,1
STORM,61,1956-08-09T00:00:00.000Z,1956-08-09T00:00:00.000Z,False,1
HURRICANES,44,1955-08-20T00:00:00.000Z,1955-08-20T00:00:00.000Z,False,1
FLOODS,100,1960-04-20T00:00:00.000Z,1960-04-20T00:00:00.000Z,False,1
FLOODS,86,1958-07-05T00:00:00.000Z,1958-07-05T00:00:00.000Z,False,1
FLOODS,78,1957-06-22T00:00:00.000Z,1957-06-22T00:00:00.000Z,False,1
TIDAL WAVES,101,1960-05-25T00:00:00.000Z,1960-05-25T00:00:00.000Z,False,1
FLOODS,70,1957-03-06T00:00:00.000Z,1957-03-06T00:00:00.000Z,False,1
TORNADO,4,1953-06-02T00:00:00.000Z,1953-06-02T00:00:00.000Z,False,1
FLOODS,88,1958-11-06T00:00:00.000Z,1958-11-06T00:00:00.000Z,False,1
FLOOD,74,1957-05-18T00:00:00.000Z,1957-05-18T00:00:00.000Z,False,1
FLOOD,33,1955-05-25T00:00:00.000Z,1955-05-25T00:00:00.000Z,False,1
FLOOD,50,1956-02-25T00:00:00.000Z,1956-02-25T00:00:00.000Z,False,1
HURRICANE,28,1954-10-17T00:00:00.000Z,1954-10-17T00:00:00.000Z,False,1
FLOOD,91,1959-01-29T00:00:00.000Z,1959-01-29T00:00:00.000Z,False,1
HURRICANE,64,1956-10-04T00:00:00.000Z,1956-10-04T00:00:00.000Z,False,1
EARTHQUAKE,19,1954-07-14T00:00:00.000Z,1954-07-14T00:00:00.000Z,False,1
FLOOD,69,1957-03-01T00:00:00.000Z,1957-03-01T00:00:00.000Z,False,1
FLOODS,68,1957-02-01T00:00:00.000Z,1957-02-01T00:00:00.000Z,False,1
FLOODS,98,1960-04-04T00:00:00.000Z,1960-04-04T00:00:00.000Z,False,1
FLOOD,66,1957-01-31T00:00:00.000Z,1957-01-31T00:00:00.000Z,False,1
FLOODS,84,1958-05-20T00:00:00.000Z,1958-05-20T00:00:00.000Z,False,1
FLOODS,90,1959-01-23T00:00:00.000Z,1959-01-23T00:00:00.000Z,False,1
HURRICANE & FLOODS,43,1955-08-20T00:00:00.000Z,1955-08-20T00:00:00.000Z,True,1
FLOOD,49,1955-12-29T00:00:00.000Z,1955-12-29T00:00:00.000Z,False,1
FLOOD,67,1957-01-31T00:00:00.000Z,1957-01-31T00:00:00.000Z,False,1
TORNADOES,54,1956-04-07T00:00:00.000Z,1956-04-07T00:00:00.000Z,False,1
TORNADO & HEAVY RAINFALL,2,1953-05-15T00:00:00.000Z,1953-05-15T00:00:00.000Z,True,1
"HURRICANE, RAIN, WIND, HAIL & FLOODS",72,1957-04-29T00:00:00.000Z,1957-04-29T00:00:00.000Z,True,1
TORNADO,7,1953-06-11T00:00:00.000Z,1953-06-11T00:00:00.000Z,False,1
EARTHQUAKES & VOLCANIC DISTURBANCES,96,1960-01-21T00:00:00.000Z,1960-01-21T00:00:00.000Z,True,1
FLOODS,89,1959-01-23T00:00:00.000Z,1959-01-23T00:00:00.000Z,False,1
FLOODS,81,1957-09-05T00:00:00.000Z,1957-09-05T00:00:00.000Z,False,1
FLOODS,99,1960-04-08T00:00:00.000Z,1960-04-08T00:00:00.000Z,False,1
HURRICANES,23,1954-09-02T00:00:00.000Z,1954-09-02T00:00:00.000Z,False,1
"HEAVY RAINS, HAIL, FLOODS & TORNADOES",103,1960-07-15T00:00:00.000Z,1960-07-15T00:00:00.000Z,True,1
WIND STORM,57,1956-05-17T00:00:00.000Z,1956-05-17T00:00:00.000Z,False,1
HURRICANE DOT,94,1959-08-16T00:00:00.000Z,1959-08-16T00:00:00.000Z,False,1
FOREST FIRE,65,1956-12-29T00:00:00.000Z,1956-12-29T00:00:00.000Z,False,1
"TORNADOES, RAIN, HAIL & FLOODS",77,1957-05-29T00:00:00.000Z,1957-05-29T00:00:00.000Z,True,1
HURRICANE,62,1956-08-18T00:00:00.000Z,1956-08-18T00:00:00.000Z,False,1
SEVERE STORM,56,1956-04-24T00:00:00.000Z,1956-04-24T00:00:00.000Z,False,1
HURRICANES,24,1954-09-13T00:00:00.000Z,1954-09-13T00:00:00.000Z,False,1
FLOODS & HURRICANE,73,1957-05-16T00:00:00.000Z,1957-05-16T00:00:00.000Z,True,1
FLOOD,8,1953-06-11T00:00:00.000Z,1953-06-11T00:00:00.000Z,False,1
TORNADO,34,1955-05-27T00:00:00.000Z,1955-05-27T00:00:00.000Z,False,1
FLOOD,59,1956-06-12T00:00:00.000Z,1956-06-12T00:00:00.000Z,False,1
TORNADO,14,1953-12-06T00:00:00.000Z,1953-12-06T00:00:00.000Z,False,1
HEAVY RAINSTORMS & FLOOD,82,1958-04-04T00:00:00.000Z,1958-04-04T00:00:00.000Z,True,1
FLOOD,76,1957-05-27T00:00:00.000Z,1957-05-27T00:00:00.000Z,False,1
FLOOD,18,1954-07-01T00:00:00.000Z,1954-07-01T00:00:00.000Z,False,1
TORNADOES & FLOODS,75,1957-05-22T00:00:00.000Z,1957-05-22T00:00:00.000Z,True,1
"TORNADOES, RAIN, HAIL & FLOODS",85,1958-06-06T00:00:00.000Z,1958-06-06T00:00:00.000Z,True,1
HURRICANE & SEVERE STORM,87,1958-10-01T00:00:00.000Z,1958-10-01T00:00:00.000Z,True,1
HURRICANE & FLOOD,39,1955-08-20T00:00:00.000Z,1955-08-20T00:00:00.000Z,True,1
TIDAL WAVE,71,1957-03-16T00:00:00.000Z,1957-03-16T00:00:00.000Z,False,1
FLOOD,38,1955-08-15T00:00:00.000Z,1955-08-15T00:00:00.000Z,False,1
HURRICANE,29,1954-10-17T00:00:00.000Z,1954-10-17T00:00:00.000Z,False,1
STORM & FLOOD,60,1956-07-20T00:00:00.000Z,1956-07-20T00:00:00.000Z,True,1
HEAVY RAINS & FLOODS,95,1959-11-09T00:00:00.000Z,1959-11-09T00:00:00.000Z,True,1
FLOODS,55,1956-04-21T00:00:00.000Z,1956-04-21T00:00:00.000Z,False,1
FLOODS,80,1957-06-22T00:00:00.000Z,1957-06-22T00:00:00.000Z,False,1
TORNADO,53,1956-04-05T00:00:00.000Z,1956-04-05T00:00:00.000Z,False,1
FLOOD,47,1955-12-23T00:00:00.000Z,1955-12-23T00:00:00.000Z,False,1
FLOOD,63,1956-08-31T00:00:00.000Z,1956-08-31T00:00:00.000Z,False,1
FLOOD,48,1955-12-24T00:00:00.000Z,1955-12-24T00:00:00.000Z,False,1
TORNADO,79,1957-06-22T00:00:00.000Z,1957-06-22T00:00:00.000Z,False,1
SEVERE WEATHER CONDITIONS,97,1960-03-23T00:00:00.000Z,1960-03-23T00:00:00.000Z,False,1
SEVERE STORM,58,1956-05-21T00:00:00.000Z,1956-05-21T00:00:00.000Z,False,1
HEAVY RAINSTORMS & FLOODS,83,1958-05-15T00:00:00.000Z,1958-05-15T00:00:00.000Z,True,1
FLOOD,52,1956-03-29T00:00:00.000Z,1956-03-29T00:00:00.000Z,False,1
FLOOD,51,1956-03-15T00:00:00.000Z,1956-03-15T00:00:00.000Z,False,1
"HURRICANE, TORRENTIAL RAIN & FLOODS",42,1955-08-20T00:00:00.000Z,1955-08-20T00:00:00.000Z,True,1
FLOODS,110,1961-03-02T00:00:00.000Z,1961-03-02T00:00:00.000Z,False,1
"HEAVY RAINS, HAIL, FLOODS & TORNADOES",104,1960-07-15T00:00:00.000Z,1960-07-15T00:00:00.000Z,True,1
HURRICANE DONNA,106,1960-09-12T00:00:00.000Z,1960-09-12T00:00:00.000Z,False,1
FLOODS & TORNADOES,115,1961-05-27T00:00:00.000Z,1961-05-27T00:00:00.000Z,True,1
FLOODS,113,1961-05-20T00:00:00.000Z,1961-05-20T00:00:00.000Z,False,1
EXTREME DROUGHT CONDITIONS,170,1964-05-26T00:00:00.000Z,1964-05-26T00:00:00.000Z,False,1
HEAVY RAINS & FLOODING,183,1964-12-24T00:00:00.000Z,1964-12-24T00:00:00.000Z,True,1
"SEVERE STORM, HIGH TIDES & FLOODING",125,1962-03-09T00:00:00.000Z,1962-03-09T00:00:00.000Z,True,1
SEVERE STORMS & FLOODING,150,1963-03-26T00:00:00.000Z,1963-03-26T00:00:00.000Z,True,1
FIRE (LOS ANGELES COUNTY),119,1961-11-16T00:00:00.000Z,1961-11-16T00:00:00.000Z,False,1
FLOODS,108,1961-02-27T00:00:00.000Z,1961-02-27T00:00:00.000Z,False,1
"SEVERE STORMS, HEAVY RAINS & FLOODING",145,1963-02-25T00:00:00.000Z,1963-02-25T00:00:00.000Z,True,1
FLOODS,120,1962-02-14T00:00:00.000Z,1962-02-14T00:00:00.000Z,False,1
SEISMIC SEA WAVE,169,1964-04-01T00:00:00.000Z,1964-04-01T00:00:00.000Z,False,1
SEVERE STORMS & FLOODING,165,1964-03-20T00:00:00.000Z,1964-03-20T00:00:00.000Z,True,1
HURRICANE CARLA,118,1961-09-16T00:00:00.000Z,1961-09-16T00:00:00.000Z,False,1
HEAVY RAINS & FLOODING,183,1964-12-24T00:00:00.000Z,1964-12-24T00:00:00.000Z,True,1
TYPHOON KAREN,140,1962-11-12T00:00:00.000Z,1962-11-12T00:00:00.000Z,False,1
FLOODS,144,1963-02-25T00:00:00.000Z,1963-02-25T00:00:00.000Z,False,1
"SEVERE STORM, HIGH TIDES & FLOODING",124,1962-03-09T00:00:00.000Z,1962-03-09T00:00:00.000Z,True,1
FLOODS,109,1961-02-27T00:00:00.000Z,1961-02-27T00:00:00.000Z,False,1
HURRICANE CLEO,175,1964-09-08T00:00:00.000Z,1964-09-08T00:00:00.000Z,False,1
HURRICANE CINDY,159,1963-09-24T00:00:00.000Z,1963-09-24T00:00:00.000Z,False,1
