Date,Número de pasajeros que salen de PR,Número de pasajeros que llegan a PR,Movimiento neto de pasajeros,Movimiento neto de pasajero últimos 12 meses,Número de pasajeros que salen de SJU,Número de pasajeros que salen de BQN,Número de pasajeros que salen de PSE,Número de pasajeros que salen de MAZ,Número de pasajeros que salen de HUC,Número de pasajeros que salen de ARE,Número de pasajeros que salen de VQS,Número de pasajeros que salen de SIG,Número de pasajeros que salen de NRR,Número de pasajeros que llegan a SJU,Número de pasajeros que llegan a BQN,Número de pasajeros que llegan a PSE,Número de pasajeros que llegan a MAZ,Número de pasajeros que llegan a CPX_D,Número de pasajeros que llegan a HUC,Número de pasajeros que llegan a ARE,Número de pasajeros que llegan a VQS,	Número de pasajeros que llegan a SIG,Número de pasajeros que llegan a NRR_D,DF_D,AF_D,DF_SJU_D,DF_BQN_D,DF_PSE_D,DF_MAZ_D,DF_CPX_D,DF_HUC_D,DF_ARE_D,DF_VQS_D,DF_SIG_D,DF_NRR_D,AF_SJU_D,AF_BQN_D,AF_PSE_D,AF_MAZ_D,AF_CPX_D,AF_HUC_D,AF_ARE_D,AF_VQS_D,AF_SIG_D,AF_NRR_D,Vuelos que despegan de PR,Vuelos que aterrizan en PR,Vuelos que despegan de SJU,Vuelos que despegan de BQN,Vuelos que despegan de PSE,Vuelos que despegan de MAZ,Vuelos que despegan de CPX,Vuelos que despegan de HUC,Vuelos que despegan de ARE,Vuelos que despegan de VQS,Vuelos que despegan de SIG,Vuelos que despegan de NRR,Vuelos que aterrizan en SJU,Vuelos que aterrizan en BQN,Vuelos que aterrizan en PSE,Vuelos que aterrizan en MAZ,Vuelos que aterrizan en Cpx,Vuelos que aterrizan en HUC,Vuelos que aterrizan en ARE,Vuelos que aterrizan en VQS,Vuelos que aterrizan en SIG,Vuelos que aterrizan en NRR,Vuelos que aterrizan en AA,Vuelos que aterrizan en Jetblue Airways,Pasajeros que salen de PR por medio de Continental Air Lines Inc.,Pasajeros que salen de PR por medio de US Airways Inc.,Pasajeros que salen de PR por medio de Spirit Air Lines,Pasajeros que llegan a PR por medio de American Airlines Inc.,Pasajeros que llegan a PR por medio de JetBlue Airways,Pasajeros que llegan a PR por medio de Continental Airlines Inc.,Pasajeros que llegan a PR por medio de US Airways Inc.,Pasajeros que llegan a PR por medio de Spirit Airlines,DF_FX_D,DF_5X_D,DF_WI_D,DF_ABX_D,DF_JW_D,DF_AA_D,AF_FX_D,AF_5X_D,AF_WI_D,AF_ABX_D,AF_JW_D,AF_AA_D,Vuelos que despegan de Cape Air,Vuelos que despegan de Jetblue Airways,Vuelos que despegan de American Airlines Inc,Vuelos que despegan de Vieques Air Link Inc,Vuelos que despegan de Executive Airlines,Vuelos que aterrizan de Cape Air,Vuelos que aterrizan de Jetblue Airways,Vuelos que aterrizan de American Airlines Inc,Vuelos que aterrizan de Vieques Air Link Inc,Vuelos que aterrizan de Executive Airlines
2018-04,341891,334097,7794,169915,304757,21915,7860,624,1310,0,0,2624,1159,0,298178,21186,7562,525,1239,0,0,2417,1319,0,16208390,24861054,12895789,3312252,0,0,197,0,0,0,152,0,20856050,4004655,0,0,152,0,0,0,197,0,5151,5106,3181,192,62,120,374,0,0,569,378,0,3152,190,61,120,341,0,0,587,339,0,66783,113017,0,0,19795,66811,110269,0,0,19837,8379567,3168984,0,881197,0,503752,11317212,4778435,0,1639342,0,503752,872,891,475,1257,117,875,890,474,1257,0
2018-03,350313,352184,-1871,186611,311447,22080,7975,677,1454,0,0,2923,1469,0,312709,22395,8317,612,1673,0,0,3080,1455,0,20208205,28639034,16984327,3218313,0,0,873,0,0,700,2092,0,24463038,4046665,0,0,3168,0,0,124590,973,0,5097,5083,3319,184,63,124,270,0,0,554,338,0,3304,185,63,124,288,0,0,578,285,0,69314,112825,0,0,18183,69102,114032,0,0,17309,9359461,3604398,0,1015905,0,404877,12177880,5696744,503872,1644553,0,404877,932,830,465,1104,91,932,833,467,1104,0
2018-02,259969,273179,-13210,193523,233414,13976,6674,596,913,0,0,2050,834,0,243965,15538,7677,589,947,0,0,2158,845,0,18831725,26147061,15538438,3287909,0,0,783,0,0,700,1995,0,22376550,3746823,0,0,3220,0,0,18985,883,0,4529,4480,2983,134,56,113,249,0,0,485,279,0,2927,135,56,113,252,0,0,534,233,0,54867,93786,0,0,12441,55913,101535,0,0,13068,10044687,3563524,24096,1327924,0,384542,11202379,5062853,1216880,2021127,0,384542,847,789,438,1048,74,846,790,440,1048,0
2018-01,267706,332429,-64723,201520,241340,14401,7241,553,748,0,0,1578,648,0,300748,17420,9544,547,670,0,0,1639,655,0,17721983,26325318,14599411,3117372,0,0,700,0,0,700,1900,0,22162325,4138203,0,0,4099,0,0,19291,800,0,4435,4437,3062,151,69,125,204,0,0,369,271,0,3062,151,70,125,217,0,0,430,205,0,55078,93505,0,0,13694,72936,111829,0,0,18778,9007127,3264420,0,1462269,0,445370,11576970,5367722,460387,2604477,0,445370,902,800,476,749,96,897,800,479,749,0
2017-12,327100,310141,16959,281253,298418,18917,8796,578,6,0,0,372,13,0,281888,18537,8731,538,9,0,0,438,0,0,19168236,30214020,15470714,3697522,0,0,0,0,0,0,0,0,25906134,4307886,0,0,0,0,0,0,0,0,3622,3613,2971,169,73,124,24,0,0,153,108,0,2963,168,74,124,34,0,0,226,24,0,59403,113842,0,0,19664,54553,109832,0,0,17020,5893469,3296653,0,1439180,0,366067,7596317,6363733,241126,2992721,0,366067,835,800,370,0,98,837,811,376,0,0
2017-11,244009,198309,45700,229267,228750,10595,3794,520,6,0,0,333,11,0,184530,9756,3360,345,6,0,0,301,11,0,17673985,37778218,14558426,3115559,0,0,0,0,0,0,0,0,32684798,5042352,51068,0,0,0,0,0,0,0,2922,2933,2511,109,34,120,16,0,0,130,2,0,2395,117,37,120,26,0,0,236,2,0,42782,70057,0,0,15772,34864,61452,0,0,11496,9258459,3143858,15099,1495944,0,343787,16267947,6464372,3756724,3000572,0,343787,694,500,259,0,79,692,502,260,0,0
2017-10,243397,148104,95293,181562,230797,9090,2749,477,0,0,0,262,22,0,142366,4369,869,287,0,0,0,208,5,0,14753975,58584179,12171186,2579309,2720,0,0,0,0,0,0,0,49967469,8324305,291645,0,0,0,0,0,0,0,3017,3055,2599,123,26,116,3,0,0,144,5,0,2551,140,34,117,21,0,0,190,1,0,43524,76765,0,0,18152,31079,38172,0,0,10167,6847993,2744575,32075,1275999,0,292816,21104658,9249422,7120492,3719140,0,292816,592,574,256,0,94,591,565,255,0,0
2017-09,175591,133030,42561,93403,158580,11396,3713,190,467,0,0,466,301,0,119495,8823,2911,155,529,0,0,450,242,0,9666533,19423407,8054797,1611058,0,0,219,0,0,100,133,0,17092206,2330516,0,0,248,0,0,154,110,0,2128,2085,1548,106,29,55,79,0,0,158,78,0,1512,103,27,54,103,0,0,181,41,0,28244,65092,0,0,11002,21596,49245,0,0,8626,4818547,1914770,7088,909218,0,183359,7424991,3037128,677606,1870120,0,183359,313,466,168,0,54,317,443,164,0,0
2017-08,408354,382354,26000,66955,358577,27692,8671,519,2452,0,0,5024,1765,0,335692,25393,7895,522,2230,0,0,4927,2064,0,15832220,20040609,12907549,2914172,0,0,730,0,0,1583,3463,0,16489573,3531655,0,0,1689,0,0,15792,827,0,6349,6310,3464,225,73,122,486,0,0,970,425,0,3442,223,73,122,457,0,0,1008,398,0,74673,145689,0,0,18548,68864,136170,0,0,15883,8433266,3600956,0,1021160,0,364229,8964402,5057127,0,2150543,0,364229,823,1067,472,1481,85,823,1064,467,1481,0
2017-07,476267,476217,50,61132,417882,31063,10453,459,3223,0,0,6146,2328,0,417914,30941,10565,430,3459,0,0,6061,2370,0,12296448,18468211,10147673,2137707,0,0,561,0,0,1547,3896,0,15110351,3331155,0,0,4232,0,0,20728,746,0,7268,7231,3937,242,86,120,596,0,0,1125,461,0,3910,246,86,119,589,0,0,1161,442,0,87197,157324,0,0,18789,87018,158912,0,0,18141,6099040,2706049,0,978864,0,346271,8050734,4467349,0,1899338,0,346271,1074,1176,551,1541,86,1068,1174,553,1541,0
2017-06,422908,430972,-8064,60382,371510,28728,8655,490,2675,0,0,5021,1925,0,379506,28487,8872,425,2769,0,0,5230,2053,0,14692583,20499341,11713008,2967237,0,0,471,0,0,1533,5185,0,16536309,3936208,0,0,4677,0,0,20428,697,0,6717,6659,3703,230,74,114,537,0,0,1006,416,0,3642,233,74,114,528,0,0,1039,408,0,79253,141049,0,0,17266,82262,143535,0,0,16876,7622981,3520084,0,978864,0,301550,8653788,4723310,0,1899338,0,301550,1000,1093,529,1453,80,998,1098,530,1453,0
2017-05,372654,349228,23426,66801,325354,26943,7928,603,2666,0,0,5091,1944,0,305726,24253,7069,510,2543,0,0,3529,2016,0,13536306,19989772,10856571,2666820,0,0,684,0,0,2059,4559,0,16236472,3724920,0,0,3688,0,0,22727,820,0,6409,6383,3369,207,59,125,574,0,0,1032,431,0,3352,212,59,125,505,0,0,1053,428,0,82101,137314,0,0,18028,77252,126269,0,0,15718,6605162,3026988,0,1106632,0,229803,8477719,4748803,0,1892459,0,229803,1028,1045,528,1420,82,1026,1047,530,1420,0
2017-04,402647,378157,24490,79069,354383,22226,7785,595,3810,0,0,6721,2365,0,331896,21341,7404,473,3627,0,0,6191,2487,0,13102955,19134803,10881434,2207690,0,0,691,0,0,1513,6179,0,15784239,3324822,0,0,3530,0,0,20458,854,0,6999,6972,3668,179,59,118,636,0,0,1217,443,0,3663,179,60,118,587,0,0,1226,421,0,85666,134557,0,0,16551,78471,127761,0,0,15171,6597043,2882913,0,1014476,0,369606,8462527,4304895,0,1820065,0,369606,1225,998,537,1546,80,1230,1001,538,1546,0
2017-03,410559,405518,5041,80028,359650,22509,8054,669,4219,0,0,7889,2709,0,356221,21746,7572,540,3965,0,0,7857,2787,0,16115884,22101081,13175163,2918440,0,0,4279,0,0,8837,6062,0,18294733,3784527,0,0,3883,0,0,8625,6104,0,7341,7304,3888,184,60,124,681,0,0,1282,455,0,3890,185,59,124,608,0,0,1296,439,0,82722,133251,0,0,17391,81156,131151,0,0,16210,8585341,3233665,0,1296461,0,88569,9591573,5394705,0,2186019,0,88569,1361,994,545,1591,88,1354,1000,543,1591,0
2017-02,325085,330298,-5213,81762,282841,18640,7216,538,3275,0,0,6403,2432,0,287685,18927,7441,484,3238,0,0,6559,2275,0,12012503,18710526,9640901,2356503,0,0,601,0,0,1730,7119,0,15386637,3292212,0,0,3969,0,0,25916,747,0,6434,6347,3444,166,55,112,583,0,0,1099,426,0,3388,167,55,112,512,0,0,1156,373,0,64306,106234,0,0,15415,65933,109109,0,0,14755,5864901,2583549,0,1087610,0,73048,8419686,4531237,0,1817378,0,73048,1234,886,489,1403,91,1223,885,490,1403,0
2017-01,406116,391106,15010,92891,355212,23356,9898,617,3760,0,0,6774,2473,0,341665,22282,10032,596,3462,0,0,6357,2443,0,11321461,18861059,9210945,2095928,0,0,667,0,0,1755,7634,0,15574186,3260266,0,0,2823,0,0,22103,795,0,7238,7162,3900,198,73,126,685,0,0,1180,476,0,3866,197,72,126,569,0,0,1241,436,0,80390,133490,0,0,25521,73536,131220,0,0,24920,5500386,2544544,0,978689,0,99086,8593436,4653806,0,1739471,0,99086,1318,1053,570,1468,145,1309,1047,565,1468,0
2016-12,394070,429097,-35027,88200,346856,22140,11126,563,1983,0,0,4927,2326,0,379053,23636,11971,549,3338,0,0,6242,1836,0,13784131,22642396,11006331,2766277,0,0,601,0,0,1851,4659,0,18997970,3615973,0,0,3913,0,0,22827,942,0,6876,6858,3925,198,86,121,543,0,0,988,435,0,3922,199,86,121,537,0,0,1100,368,0,72026,139931,0,0,21426,84083,151317,0,0,21738,3899346,2609647,0,1445428,0,111860,5093158,5553430,0,2254945,0,111860,1171,1135,567,1401,113,1175,1140,571,1401,0
2016-11,324201,326206,-2005,88235,283123,20782,8474,453,1991,0,0,4355,1864,0,284256,21211,9005,416,2509,0,0,4338,1557,0,12184612,21603536,9598946,2570555,0,0,588,0,0,1664,8539,0,17964087,3608829,0,0,4307,0,0,24657,790,0,5565,5547,3154,187,69,115,386,0,0,825,357,0,3152,187,70,115,433,0,0,818,290,0,66340,123188,0,0,16231,66236,124413,0,0,15715,5875208,2547722,0,987249,0,82532,8931691,5211165,0,1571487,0,82532,948,995,491,1110,82,948,997,492,1110,0
2016-10,281163,274029,7134,94569,244657,18835,7314,371,1890,0,0,3587,1523,0,237642,18629,7412,350,2206,0,0,3558,1380,0,12378365,20787436,9543967,2821025,0,0,531,0,0,1696,6945,0,17245032,3519086,0,0,3036,0,0,18522,802,0,5170,5130,2822,188,60,103,397,0,0,791,338,0,2793,189,60,103,430,0,0,784,269,0,55764,111195,0,0,15165,53994,107418,0,0,14363,6323917,2612088,0,1340200,0,64627,9073080,4826579,0,2205282,0,64627,938,893,390,999,78,934,895,391,999,0
2016-09,265103,248990,16113,86053,229275,19120,6849,349,1841,0,0,3172,1556,0,214902,17662,6574,336,2322,0,0,3069,1299,0,12356376,19176909,9697517,2645505,0,0,549,0,0,2060,7416,0,15657608,3497985,0,0,3421,0,0,15994,978,0,5014,4979,2660,181,59,112,381,0,0,800,340,0,2628,183,59,112,432,0,0,774,299,0,51723,102129,0,0,15636,49730,94103,0,0,14852,6454259,2640718,0,1077168,0,91651,8789110,4643574,0,1961756,0,91651,892,824,343,1036,82,893,822,345,1036,0
2016-08,374381,354204,20177,87434,326932,25871,9083,433,2379,0,0,4380,1880,0,309718,23690,8470,453,2752,0,0,4080,1637,0,12865321,19049585,10403368,2445576,0,0,910,0,0,3875,6594,0,15823616,3198785,0,0,3190,0,0,20424,1269,0,6126,6085,3450,241,86,121,428,0,0,893,360,0,3422,240,84,121,472,0,0,879,325,0,76849,144723,0,0,15743,71897,135982,0,0,13688,6254651,3005421,0,1111567,0,161752,8361604,4877087,0,1841956,0,161752,1003,1175,520,1144,83,1003,1175,520,1144,0
2016-07,449402,450102,-700,97906,394173,27705,10660,427,3626,0,0,5596,2307,0,394279,28037,11062,377,3996,0,0,5501,2379,0,12007927,18424977,9656753,2335480,0,0,907,0,0,3170,6650,0,15126247,3271422,0,0,4370,0,0,19339,1309,0,6998,6960,3785,245,93,110,605,0,0,1075,407,0,3768,245,93,110,602,0,0,1031,424,0,96319,156394,0,0,17892,93510,158356,0,0,17654,5629185,2823410,0,524016,0,77947,8456702,4447678,0,823087,0,77947,1137,1281,600,1362,86,1139,1279,595,1362,0
2016-06,400460,402105,-1645,96813,354428,26677,9511,387,1652,0,0,3882,1371,0,356219,26637,9441,361,1768,0,0,3881,1347,0,13117975,20190386,10404503,2698851,0,0,723,0,0,2951,6104,0,16272195,3891946,0,0,4100,0,0,18964,1157,0,6180,6146,3691,230,77,94,441,0,0,865,323,0,3648,230,79,94,415,0,0,871,325,0,86504,141978,0,0,17170,87681,139874,0,0,16885,6380380,3232985,0,545421,0,79206,9329645,4714385,0,867066,0,79206,1050,1146,565,1262,81,1047,1153,567,1262,0
