Date,Núm.pasajeros salientes,Núm.pasajeros entrantes,Movimiento neto pasajeros,Movimiento neto pasajeros ultimos 12 meses,Pasajeros salientes SJU,Pasajeros entrantes SJU,Pasajeros salientes BQN,Pasajeros entrantes BQN,Pasajeros salientes PSE,Pasajeros entrantes PSE,Pasajeros salientes MAZ,Pasajeros entrantes MAZ,Pasajeros salientes CPX,Pasajeros entrantes CPX,Pasajeros salientes HUC,Pasajeros entrantes HUC,Pasajeros salientes ARE,Pasajeros entrantes ARE,Pasajeros salientes VQS,Pasajeros entrantes VQS,Pasajeros salientes SIG,Pasajeros entrantes SIG,Pasajeros salientes NRR,Pasajeros entrantes NRR,Carga saliente,Carga entrante,Carga saliente SJU,Carga entrante SJU,Carga saliente BQN,Carga entrante BQN,Carga saliente PSE,Carga entrante PSE,Carga saliente MAZ,Carga entrante MAZ,Carga saliente CPX,Carga entrante CPX,Carga saliente HUC,Carga entrante HUC,Carga saliente ARE,Carga entrante ARE,Carga saliente VQS,Carga entrante VQS,Carga saliente SIG,Carga entrante SIG,Carga saliente NRR,Carga entrante NRR,Núm.vuelos salientes.,Núm.vuelos entrantes.,Vuelos salientes SJU,Vuelos salientes BQN,Vuelos salientes PSE,Vuelos salientes MAZ,Vuelos salientes CPX,Vuelos salientes HUC,Vuelos salientes ARE,Vuelos salientes VQS,Vuelos salientes SIG,Vuelos salientes NRR,Vuelos entrantes SJU,Vuelos entrantes BQN,Vuelos entrantes PSE,Vuelos entrantes MAZ,Vuelos entrantes CPX,Vuelos entrantes HUC,Vuelos entrantes ARE,Vuelos entrantes VQS,Vuelos entrantes SIG,Vuelos entrantes NRR,Pasajeros salientes COPA Airlines,Pasajeros entrantes COPA Airlines,Pasajeros salientes Iberia Airlines,Pasajeros entrantes Iberia Airlines,Pasajeros salientes Elite Airways,Pasajeros entrantes Elite Airways,Pasajeros salientes Air Canada,Pasajeros entrantes Air Canada,Carga saliente Martinair Holland,Carga entrante Martinair Holland,Carga saliente Iberia Airlines,Carga entrante Iberia Airlines,Carga saliente COPA Airlines,Carga entrante COPA Airlines,Carga saliente Piedmont Airlines,Carga entrante Piedmont Airlines,Vuelos salientes Elite Airways,Vuelos entrantes Elite Airways,Vuelos salientes COPA Airlines,Vuelos entrantes COPA Airlines,Vuelos salientes Martinair Holland,Vuelos entrantes Martinair Holland,Vuelos salientes Iberia Airlines,Vuelos entrantes Iberia Airlines
2018-01,289231,359921,-70690,216038,262865,328217,14401,17436,7241,9544,553,547,748,670,0,0,0,0,1578,1639,648,662,0,0,19462944,27458693,15230242,22517024,4227502,4916879,0,0,0,0,700,4099,0,0,0,0,700,19291,1900,800,0,0,5555,5566,3999,333,70,125,204,0,0,369,271,0,4014,327,70,125,217,0,0,430,206,0,3327,4549,0,0,0,0,0,0,0,0,0,0,4688,88910,0,0,0,0,36,36,0,0,0,0
2017-12,354865,332710,22155,293992,326183,304457,18917,18537,8796,8731,578,538,6,9,0,0,0,0,372,438,13,0,0,0,21573785,31825902,16397079,26433758,5176706,5392144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4820,4715,3958,380,73,124,24,0,0,153,108,0,3857,376,74,124,34,0,0,226,24,0,4799,4184,0,0,0,0,0,0,0,0,0,0,2647,86240,0,0,0,0,40,40,0,0,0,0
2017-11,265606,215356,50250,245205,250344,201574,10595,9756,3794,3360,520,345,6,6,0,0,0,0,333,301,11,11,0,0,20325443,43641203,15447512,33937304,4456268,6197148,0,51068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3916,3907,3288,317,35,120,16,0,0,130,2,0,3130,329,37,120,26,0,0,236,2,0,3624,3084,0,0,0,0,0,0,0,0,0,0,2631,70545,0,0,0,0,30,30,0,0,0,0
2017-10,258662,159465,99197,192716,246062,153727,9090,4369,2749,869,477,287,0,0,0,0,0,0,262,208,22,5,0,0,17084367,65188401,13363512,52186568,3717375,9206404,2720,291645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3849,3841,3263,282,35,116,3,0,0,144,5,0,3173,281,34,117,21,0,0,190,1,0,3419,2634,1777,1953,0,0,0,0,0,0,16075,135080,904,78307,0,0,0,0,32,32,0,0,12,12
2017-09,194571,149848,44723,100424,177560,136313,11396,8823,3713,2911,190,155,467,529,0,0,0,0,466,450,301,242,0,0,11686871,21566109,8540451,17864252,3145742,3701172,0,0,0,0,219,248,0,0,0,0,100,154,133,110,0,0,2677,2618,2015,188,29,55,79,0,0,158,78,0,1969,179,27,54,103,0,0,181,41,0,3120,3077,2353,1421,0,0,0,0,968185,1013030,29379,78919,1726,65345,0,0,0,0,35,37,5,6,9,9
2017-08,449708,431019,18689,70847,399931,384256,27692,25393,8671,7996,519,522,2452,2230,0,0,0,0,5024,4927,1765,2064,0,0,21719758,24628051,13624209,16906356,8085050,7702314,0,0,0,0,730,1689,0,0,0,0,1583,15792,3463,827,0,0,7826,7748,4707,458,74,122,486,0,0,970,425,0,4659,443,74,122,457,0,0,1008,398,0,5602,6228,2354,2593,0,0,0,0,4061095,3413872,24959,94437,9224,137025,0,0,0,0,62,62,27,22,12,12
2017-07,544721,546560,-1839,63417,483956,485575,32172,32276,11629,11907,459,430,3223,3459,0,0,0,0,6146,6061,2387,2375,0,0,16879849,22376083,10593299,15634446,6275482,6714932,0,0,0,0,561,4232,0,0,0,0,1547,20728,3896,746,0,0,8982,8901,5406,455,96,120,596,0,0,1125,472,0,5369,446,96,119,589,0,0,1161,443,0,8761,8877,2672,3683,0,0,0,0,2976191,2693042,41085,99181,3243,131916,0,0,0,0,79,79,21,18,14,14
2017-06,478761,476698,2063,63508,426425,424684,29209,28820,9104,9087,490,425,2675,2769,0,0,0,0,5021,5230,1933,2053,0,0,20005114,24975568,12464261,17413394,7528515,7535350,0,0,0,0,471,4677,0,0,0,0,1533,20428,5185,697,0,0,8310,8144,5070,451,78,114,537,0,0,1006,417,0,4923,432,79,114,528,0,0,1039,408,0,7103,6481,3135,2989,0,0,109,109,3247915,2824206,46853,86761,10938,161245,0,0,0,0,75,75,23,19,13,13
2017-05,413825,383870,29955,64984,366370,340368,27098,24253,7928,7069,603,510,2666,2543,0,0,0,0,5091,3529,1944,2016,0,0,18927504,24288440,11614234,17031553,7300355,7228507,0,0,0,0,684,3688,0,0,0,0,2059,22727,4559,820,0,0,7946,7862,4691,422,59,125,574,0,0,1032,431,0,4628,415,59,125,505,0,0,1053,428,0,5724,4848,2667,1868,0,0,0,0,3233120,2726111,63804,144309,4239,158499,0,0,0,0,62,62,21,17,13,13
2017-04,446498,422764,23734,77264,398220,376496,22226,21341,7785,7404,595,473,3810,3627,0,0,0,0,6729,6198,2371,2487,0,0,17704928,22795399,11608674,16311141,6082423,6458516,0,0,0,0,691,3530,0,0,0,0,1513,20458,6179,854,0,0,8593,8544,5067,372,59,118,636,0,0,1218,444,0,5054,359,60,118,587,0,0,1227,421,0,5870,5981,2461,2456,0,0,1682,1575,2768394,2488255,23144,69839,7510,134561,0,0,0,0,60,60,18,15,12,12
