Área,Querellas recibidas,Querellas esclarecidas,Víctimas hombres,Víctimas Mujeres,Cantidad de arrestos,Más de un arresto,Radicación de cargos criminales,Intervención con menor,Más de un menor intervenido,Radicación de faltas,Convicciones,Convicciones en proceso
San Juan,123,30,29,84,34,0,18,1,0,0,17,1
Arecibo,104,102,13,91,17,0,29,17,0,2,0,19
Ponce,173,22,44,132,8,0,5,3,0,0,1,5
Humacao,40,16,36,4,8,0,2,7,0,2,0,26
Mayagüez,23,1,6,17,6,0,6,1,0,0,0,5
Caguas,101,33,12,74,10,0,9,4,0,1,0,7
Bayamón,176,129,30,144,34,0,19,26,0,7,19,111
Carolina,85,52,11,75,10,0,6,8,0,3,1,5
Guayama,59,15,3,56,7,0,4,4,0,1,0,11
Aguadilla,72,59,12,60,7,0,7,6,0,3,5,190
Utuado,10,8,1,8,3,0,2,0,0,0,0,2
Fajardo,54,7,7,47,2,0,3,4,0,0,0,15
Aibonito,50,38,10,38,18,0,2,10,0,2,0,4
