Área,Querellas Recibidas,Querellas Esclarecidas,Víctima Hombres,Víctimas Mujeres,Cantidad de Arrestos,Más de Un  Arresto,Radicacíon de Cargos Criminales,Intervención con Menor,Más de un Menor Intervenido,Radicación de Faltas,Cantidad de Convicción
San Juan,122,34,7,115,28,0,15,1,0,1,15
Arecibo,78,74,14,64,6,0,5,18,0,1,1
Ponce,290,157,120,175,30,1,18,27,0,3,17
Humacao,41,25,4,37,7,0,5,12,0,0,0
Mayagüez,60,10,10,52,9,0,6,4,0,0,0
Caguas,81,12,18,63,0,0,3,5,0,0,0
Bayamón,145,81,27,118,10,0,9,19,0,5,14
Carolina,148,112,41,107,8,0,6,14,0,1,0
Guayama,79,14,14,65,22,0,10,7,0,1,4
Aguadilla,71,15,8,63,9,0,8,6,0,3,5
Utuado,60,60,23,48,8,1,6,2,0,2,2
Fajardo,49,39,9,40,2,0,2,5,0,0,0
Aibonito,39,23,4,35,8,0,7,3,0,0,0
Vega Baja,122,23,25,97,8,0,8,5,0,3,3
TOTAL,1385,679,324,1079,155,2,108,128,0,20,61
