Agency,Population,Murder,Manslaughter,Rape,Fondling,Aggravated Assault,Aggravated Stalking,Simple Assault,"Threat/
Intimidation",Stalking,Total,,,

Alachua ,"260,003",2,0,42,11,357,6,"1,086",10,12,"1,526",,,

Alachua County Sheriff's Office,"114,228",1,0,19,11,160,0,463,6,0,660,,,
Gainesville Police Department,"129,816",1,0,23,0,176,5,553,4,12,774,,,
High Springs Police Department,"6,023",0,0,0,0,3,1,10,0,0,14,,,
University of Florida Police Department,0,0,0,0,0,1,0,17,0,0,18,,,
Alachua Police Department,"9,936",0,0,0,0,8,0,43,0,0,51,,,
Santa Fe College Police Department,0,0,0,0,0,0,0,0,0,0,0,,,
Alachua DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
FWC - Alachua,0,0,0,0,0,0,0,0,0,0,0,,,
FHP - Gainesville,0,0,0,0,0,9,0,0,0,0,9,,,

Baker,"27,191",1,0,0,0,24,0,80,0,0,105,,,

Baker County Sheriff's Office,"27,191",1,0,0,0,21,0,80,0,0,102,,,
Baker DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
FWC - Baker,0,0,0,0,0,0,0,0,0,0,0,,,
FHP - Baker Co,0,0,0,0,0,3,0,0,0,0,3,,,

Bay,"178,820",2,0,16,0,272,10,"1,291",24,10,"1,625",,,

Bay County Sheriff's Office,"93,016",0,0,8,0,100,10,470,10,8,606,,,
Panama City Police Department,"36,988",1,0,0,0,115,0,543,13,2,674,,,
Mexico Beach Police Department,"1,202",0,0,0,0,4,0,7,1,0,12,,,
Springfield Police Department,"9,568",1,0,2,0,9,0,77,0,0,89,,,
Panama City Beach Police Department,"12,741",0,0,1,0,23,0,98,0,0,122,,,
Lynn Haven Police Department,"20,886",0,0,2,0,13,0,67,0,0,82,,,
FSU Police Department - Panama City,0,0,0,0,0,0,0,0,0,0,0,,,
Panama City Airport Police Department,0,0,0,0,0,0,0,0,0,0,0,,,
Bay DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
Parker Police Department,"4,419",0,0,3,0,8,0,29,0,0,40,,,
FWC - Bay,0,0,0,0,0,0,0,0,0,0,0,,,
FHP - Panama City,0,0,0,0,0,0,0,0,0,0,0,,,

Bradford,"27,642",0,0,0,0,34,0,93,1,0,128,,,

Bradford County Sheriff's Office,"21,399",0,0,0,0,22,0,83,1,0,106,,,
Starke Police Department,"5,520",0,0,0,0,12,0,9,0,0,21,,,
Lawtey Police Department,723,0,0,0,0,0,0,1,0,0,1,,,
Bradford DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
FWC - Bradford,0,0,0,0,0,0,0,0,0,0,0,,,
FHP - Starke,0,0,0,0,0,0,0,0,0,0,0,,,

Brevard,"575,211",10,2,85,20,713,10,"3,299",37,16,"4,192",,,

Brevard County Sheriff's Office,"233,477",5,1,39,5,223,8,774,15,7,"1,077",,,
Cocoa Police Department,"18,982",0,1,6,0,61,0,218,2,2,290,,,
