company,education,grad_education,job,name
Times Internet,Symboisis Institute,MBA,Data Journalist,Priya Kapoor
Statista,NRW School of Governance,Doctor of Philosophy (Ph.D.),Data Journalist,Guadalupe Moreno Cabanillas
Los Angeles Times,Carnegie Mellon University,Bachelor's Degree,Graphics and Data Journalist,Swetha Kannan
Guardian News & Media,University of Limerick,Master's degree,Data Journalist,Pamela Duncan
Office for National Statistics,City University London,Master's degree,Senior Data Journalist,Sophie Warnes
The Dallas Morning News,Columbia University in the City of New York,Master of Science (M.S.),Data Journalist,Ariana Giorgi
KUSA-TV,The University of Iowa,,Data Journalist and Investigative Producer,Katie Wilcox
Guardian News & Media,Columbia University - Graduate School of Journalism,Master of Science (MS),"Editor, Data Projects",Caelainn Barr
NOS,Fontys Hogeschool Tilburg,,Data Journalist,Winny de Jong
Freelance/Contract,Carleton University,Master of Journalism,Journalist,Carolyn Thompson
Various,Harvard Law School,J.D.,Freelance Journalist/Data Journalist,Bryna Godar
RANDOM MONKEY LTD,Universidad Rey Juan Carlos,"Master in Investigative Journalism, Data and Visualization",Data Journalist,María Isabel Magaña
The Times and Sunday Times,City University London,Master's degree,Data Journalist,Krystina Shveda
Trinity Mirror plc,City University London,Master's degree,Data Journalist,Debora Aru
The Times,"City, University of London",Master of Arts (MA),Data Journalism Editor,Leila Haddou
Google,City University London,MA Interactive Journalism,"Data Journalist, Google News Lab via Vaco",Keila Guimarães
YouGov Deutschland GmbH,Rheinische Friedrich-Wilhelms-Universität Bonn,Master of Arts (M.A.),Data Journalist,Lisa Inhoffen
The Associated Press,Cornell University,Bachelor of Arts - BA,Data Journalism Intern,Beatrice J.
The Dallas Morning News,University of North Carolina at Chapel Hill,Bachelor of Arts (B.A.),Computational Journalist,Stephanie Lamm
Hindustan Times,Northwestern University,Bachelor of Science (BSc),Data Journalist,Aditi Bhandari
KTUU Channel 2,University of Washington,Bachelor’s Degree,Digital News & Social Media Producer,Sidney Sullivan
Guardian News & Media,City University London,Interactive Journalism,Data Journalist,Niamh McIntyre
Texas Tribune,University of Maryland,Bachelor of Science - BS,Data Visuals Fellow,Naema Ahmed
POLITICO,University of Winchester,,Data Editor,Janie Boschma
HT MINT,"Gokhale Institute of Politics & Economics, Pune",Master's degree,Data Journalist,Prerna Kapoor
Agencia EFE,Columbia University in the City of New York,Lede Program,Data journalism consultant and trainer,Olaya Argüeso Pérez
Süddeutsche Zeitung GmbH,Columbia University - Graduate School of Journalism,,Data Journalist,Vanessa Wormer
Le Monde,,,Data-journalist,Laura Motet
BBC News,BBC,"Professional video, online and social media training courses",Senior Data Journalist - Shared Data Unit - Local News Partnership,Grace Spitzer-Wong
"Move, Inc",Stanford University,Master's degree,Data Journalist,Yuqing(Elly) Pan
Streetbees,"Queen Mary, U. of London",Bachelor of Arts (B.A.),Data Journalist / Content Creator,Laurie Roxby
Equifax Workforce Solutions,Lindenwood University,M.A.,Data Journalist / Insights Storyteller,"Melissa Wilson Monnig, MA"
nagoredelosrios.com,Universidad de Deusto,BIG DATA BUSINESS INTELLIGENCE (BDBI-PROGRAMA),Consultora,Nagore de los Ríos
Acuris Global,University of Warwick - Warwick Business School,Master's Degree,Data Journalist,Tanvi Gupta
Trinity Mirror,"City, University of London",Master's degree,Data journalist,Alice Cachia
HT MINT,Times School of Journalism,Post Graduate Diploma in Journalism,Data Journalist,Dipti Jain
International Consortium of Investigative Journalists (ICIJ),"The Graduate Center, City University of New York",Master’s Degree,Data journalist,Pauliina Siniauer
Brandwatch,Brighton Journalist Works,NCTJ Diploma in News Journalism,Social Data Journalist,Gemma Joyce
BBC News,The University of Manchester,BA,Senior Data Journalist,Christine Jeavans
Journocoders in Indonesia,"Goldsmiths, University of London",Master of Science (M.Sc.),Founder,Aghnia Adzkia
Transition Network,Universitat Oberta de Catalunya,PhD student (ongoing),Transitionese,Sara Moreira
YouGov,"School of Oriental and African Studies, University of London",Bachelor of Arts (B.A.),Data Journalist,Victoria Waldersee
Queensland Rail,Queensland University of Technology,Bachelor of Fine Arts,Data Journalist,Olivia McKenna
Investico - Platform voor onderzoeksjournalistiek,University of Amsterdam,MSc,Data-journalist,Anouk Ruhaak
El.vis: map me tender,Tilburg University,Master's degree,Project leader,Adriana Homolova
University College Dublin,"Goldsmiths, University of London",MA/Msc Digital Journalism,Information Design Tutor,Rachel Lavin
Público,NOVA IMS Information management school,Master's degree,Data journalist,Rita Costa
